X,Y,Z
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.165240625
0.0,-0.26679706249999996,0.495721875
0.0,-0.9834660624999998,0.8262031249999999
0.0,-2.174215125,1.156684375
0.0,-3.8983865,1.487165625
0.0,-5.864975,1.817646875
0.0,-7.831563500000001,2.148128125
0.0,-9.798152,2.270535375
0.21613706249999998,-11.966049875,1.8865776875
0.8328959999999999,-14.335257125,1.011489375
1.8526331249999997,-16.704464375,-0.28576725000000003
3.3704242499999992,-18.85947275,-2.2275177500000005
5.167775999999999,-20.80028225,-5.014874812500001
6.965127749999999,-22.74109175,-8.480377
8.762479499999998,-24.68190125,-12.4828180625
10.404115312499998,-26.62271075,-16.7744941875
11.546592687499999,-28.56352025,-21.2323770625
12.051770625,-30.50432975,-26.070437062499998
11.9394139375,-32.728871749999996,-31.309324
11.208842062499999,-35.520298999999994,-36.7350675
10.1837326875,-38.820190749999995,-42.160811
9.1586233125,-42.60054118749999,-47.75256906250001
7.9277270625,-46.63603856249999,-53.51034168750001
6.4910439375,-50.85761331249999,-59.26811431250001
5.0543608125,-55.456284874999994,-65.02588693750002
3.8086004374999995,-60.40942568749999,-70.78365956250002
3.119083249999999,-65.52601631249999,-76.54143218750002
2.964395374999999,-70.8032145,-82.29920481250002
2.979216374999999,-76.24102024999999,-88.05697743750002
2.994037374999999,-81.67882599999999,-93.81475006250002
3.008858374999999,-87.27454937499998,-99.57252268750003
3.023679374999999,-93.02819037499998,-105.33029531250003
2.866532749999999,-98.78183137499998,-111.08806793750003
2.354410437499999,-104.37886537499999,-116.65085006250003
1.3300235624999992,-109.81929237499999,-121.72898731250002
-0.20592093750000073,-115.25971937499999,-126.51747018750002
-2.176539500000001,-120.70014637499999,-131.30595306250004
-4.399531000000001,-125.95783056249999,-136.09443593750004
-6.622522500000001,-130.76448025,-140.68647993750002
-8.845514000000001,-135.04069537499998,-144.78904075000003
-10.8389865,-138.82430143749997,-148.42633356250002
-12.60294,-142.15609899999995,-151.89140268750003
-14.10457575,-144.87005293749996,-155.35647181250005
-15.34389375,-146.69618424999996,-158.82154093750006
-16.282883375,-147.66434406249996,-162.28661006250007
-16.921544625,-147.99378224999998,-165.7516791875001
-17.560205874999998,-147.82804674999997,-169.2167483125001
-18.198867124999996,-147.26634587499998,-172.88678662500013
-18.837528374999994,-146.269867375,-176.76179412500014
-19.684177124999994,-144.84429356249998,-180.63680162500015
-21.14415612499999,-143.2515389375,-184.51180912500016
-23.38295312499999,-141.6587843125,-188.38681662500017
-26.416481937499988,-140.0660296875,-192.05749431250018
-30.33315024999999,-138.26224825,-195.2603956875002
-35.14208206249999,-136.0659625,-198.1998505625002
-40.632443874999986,-133.44432043750004,-201.13930543750018
-46.573661937499985,-130.31853162500005,-204.24609831250018
-52.913154187499984,-126.74817393750006,-207.52022918750018
-59.63028118749998,-122.79305118750005,-210.79436006250017
-66.52657556249999,-118.63746431250006,-214.06849093750017
-73.42286993749998,-114.48187743750006,-217.59199400000017
-80.05596249999998,-110.32629056250006,-221.83231200000017
-86.04492462499998,-106.17070368750007,-226.94554306250018
-91.27824818749998,-102.23956225000006,-232.98765212500018
-95.84975831249999,-98.78831218750007,-239.96268018750018
-99.67042074999999,-95.84293325000007,-247.64731212500018
-102.62331724999999,-93.43383962500008,-255.82230937500017
-104.91206249999998,-91.57666487500008,-264.3513966250002
-106.75262699999998,-90.17599275000008,-273.2468081250002
-108.40514024999997,-89.29499312500008,-282.50471018750017
-110.05765349999997,-89.01215581250007,-292.07296475000015
-111.86149981249997,-88.99825218750007,-301.79158825000013
-113.98145724999998,-89.17388693750007,-311.5102117500001
-116.49976124999998,-89.53906006250007,-321.2288352500001
-119.25163374999998,-89.90423318750007,-330.94745875000007
-122.00350624999999,-90.26940631250007,-340.66608225000004
-124.75537874999999,-90.63457943750007,-350.38470575
-127.50725125,-90.84473718750006,-360.10332925
-129.99210574999998,-90.89987956250006,-369.82195275
-131.95839293749998,-90.95502193750006,-379.54057624999996
-133.28515524999997,-91.01016431250007,-389.25919974999994
-133.80444612499997,-91.06530668750007,-398.9778232499999
-133.70591493749998,-90.90248818750007,-408.6964467499999
-133.40905756249998,-90.30973456250007,-418.41507024999987
-133.11220018749998,-89.31702556250008,-428.13369374999985
-132.81534281249998,-87.85415862500008,-437.8523172499998
-132.51848543749998,-85.81749131250008,-447.5709407499998
-132.22162806249997,-82.99568143750007,-457.1267238749998
-131.92477068749997,-79.22678475000006,-466.5196666249998
-131.87910218749997,-74.72016606250007,-475.72367418749974
-132.36477881249996,-69.76247087500006,-484.7387465624997
-133.13061168749996,-64.63785337500006,-493.7538189374997
-133.89644456249997,-59.51323587500006,-502.7688913124997
-134.66227743749997,-54.388618375000064,-511.94744212499967
-135.65543224999996,-49.264000875000065,-521.5523011249998
-137.06818212499996,-44.139383375000065,-531.6935918749997
-138.67320512499995,-38.82172950000007,-542.1084846249997
-140.27822812499994,-32.95409493750007,-552.5233773749998
-141.64927149999994,-26.445368687500068,-562.6755146874998
-142.78633524999995,-19.474101125000065,-572.5648965624998
-143.68521799999996,-12.324439625000064,-582.2696116874998
-144.15624531249995,-5.024639500000063,-591.5461636249998
-144.11302093749995,2.425299249999937,-600.2623159374999
-143.56029462499995,9.875237999999937,-608.3849306249999
-142.56596699999994,17.112555374999936,-616.022851
-141.01095687499995,23.896821437499934,-623.2494145625
-139.00040674999994,30.255682499999935,-630.2726811875
-136.83832249999995,36.42956849999994,-637.12771425
-134.67623824999995,42.60345449999994,-643.6243519375
-132.51415399999996,48.45359893749995,-649.659691875
-130.35206974999997,53.66335068749995,-655.0004665
-128.18998549999998,58.26602143749995,-659.479374
-126.02790124999997,62.25963668749995,-663.07475
-124.04386056249996,65.57117718749994,-665.8172885625
-122.41455399999995,68.11931481249995,-667.6687916249999
-120.96193799999995,69.88834743749995,-668.5510733749999
-119.50932199999994,70.99746962499995,-668.7022686249999
-118.05670599999993,71.67421956249994,-668.3437300625
-116.60408999999993,72.19935643749994,-667.7206146875
-115.15147399999992,72.72449331249994,-667.0974993125
-113.69885799999992,73.07548956249994,-666.4743839375
-112.24624199999991,73.25234518749994,-665.8512685625
-110.7936259999999,73.42920081249994,-665.2281531875
-109.1547033749999,73.44498168749995,-664.6050378125
-107.17089349999989,73.29968781249995,-663.7852294375
-105.02850299999989,73.15439393749996,-662.7687280625
-102.88611249999988,73.00910006249997,-661.7522266875001
-100.74372199999988,72.86380618749997,-660.5126951250002
-98.60133149999987,72.71851231249998,-658.8734166875003
-96.45894099999987,72.57321843749999,-657.0574215625003
-94.31655049999986,72.5898921875,-655.2414264375003
-92.44420387499986,73.00243243749999,-653.4254313125003
-91.05339418749985,73.79938668749999,-651.6094361875004
-90.12440299999984,74.74685606249999,-649.6004628125004
-89.84097381249984,75.69432543749998,-647.3985111875004
-90.18398456249984,76.64179481249998,-645.1965595625004
-90.75819868749984,77.58926418749998,-642.9946079375004
-91.52077424999985,78.53673356249998,-640.6416935625004
-92.62372499999984,79.48420293749997,-637.8390895625004
-93.87868949999984,80.43167231249997,-634.7377586875003
-95.13365399999984,81.37914168749997,-631.6364278125003
-96.38861849999984,82.32661106249996,-628.5350969375003
-97.64358299999984,83.27408043749996,-625.4337660625002
-98.89854749999984,84.03210049999996,-622.3324351875002
-100.15351199999984,84.20448056249997,-619.0810416875001
-101.40847649999984,83.73342224999996,-615.6795855625002
-102.90320106249983,83.01511624999996,-612.2781294375002
-104.85168018749982,82.29681024999996,-608.8766733125002
-107.25994606249982,81.41700024999997,-605.6578704375003
-110.18073374999982,80.16463681249998,-602.6217208125003
-113.54695749999982,78.50443018749998,-599.5855711875002
-117.31856662499982,76.64742981249998,-596.5494215625002
-121.57026987499982,74.79042943749998,-593.6768164375002
-126.30564587499981,72.93342906249998,-591.1490356250001
-131.5029424374998,70.70462668749998,-589.1589870625002
