Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX,gY,gZ
410,-9.42,-0.28,0.91,26.11,0.03,0.03,0.01
427,-9.43,-0.28,0.91,26.11,0.03,0.03,0.01
442,-9.42,-0.27,0.93,26.09,0.03,0.03,0.01
457,-9.42,-0.27,0.93,26.09,0.03,0.02,0.01
474,-9.45,-0.28,0.96,26.09,0.03,0.02,0.01
489,-9.43,-0.28,0.92,26.09,0.03,0.03,0.01
505,-9.44,-0.28,0.96,26.11,0.03,0.03,0.01
521,-9.44,-0.28,0.92,26.12,0.03,0.03,0.01
537,-9.43,-0.28,0.91,26.12,0.03,0.03,0.01
552,-9.45,-0.28,0.92,26.12,0.03,0.03,0.01
569,-9.42,-0.26,0.91,26.10,0.03,0.03,0.01
584,-9.41,-0.28,0.93,26.12,0.03,0.03,0.01
601,-9.43,-0.27,0.91,26.11,0.03,0.02,0.01
616,-9.42,-0.26,0.93,26.12,0.03,0.02,0.01
632,-9.42,-0.27,0.92,26.12,0.03,0.02,0.01
648,-9.44,-0.28,0.93,26.13,0.03,0.02,0.01
664,-9.43,-0.29,0.91,26.12,0.03,0.02,0.01
679,-9.43,-0.27,0.93,26.11,0.03,0.02,0.01
696,-9.42,-0.28,0.92,26.11,0.03,0.03,0.01
711,-9.43,-0.26,0.91,26.12,0.03,0.03,0.01
728,-9.43,-0.28,0.91,26.13,0.02,0.03,0.01
743,-9.44,-0.27,0.91,26.12,0.03,0.02,0.01
759,-9.43,-0.28,0.90,26.12,0.03,0.03,0.01
775,-9.44,-0.26,0.93,26.13,0.03,0.03,0.01
791,-9.43,-0.28,0.91,26.14,0.03,0.03,0.01
806,-9.42,-0.27,0.92,26.14,0.03,0.03,0.01
823,-9.45,-0.28,0.94,26.14,0.03,0.02,0.01
838,-9.43,-0.28,0.92,26.14,0.03,0.02,0.01
855,-9.42,-0.28,0.92,26.12,0.02,0.02,0.01
870,-9.45,-0.27,0.93,26.13,0.03,0.03,0.01
886,-9.44,-0.27,0.92,26.13,0.03,0.03,0.01
902,-9.42,-0.26,0.96,26.14,0.03,0.03,0.01
918,-9.45,-0.26,0.90,26.12,0.03,0.03,0.01
933,-9.45,-0.27,0.94,26.14,0.03,0.03,0.01
950,-9.44,-0.27,0.93,26.11,0.03,0.03,0.01
965,-9.43,-0.29,0.92,26.13,0.03,0.02,0.01
982,-9.42,-0.26,0.91,26.12,0.03,0.02,0.01
997,-9.44,-0.27,0.93,26.13,0.03,0.02,0.01
1013,-9.43,-0.27,0.95,26.15,0.03,0.02,0.01
1029,-9.44,-0.26,0.93,26.12,0.03,0.02,0.01
1045,-9.44,-0.28,0.95,26.14,0.03,0.02,0.01
1060,-9.42,-0.27,0.95,26.12,0.03,0.03,0.01
1077,-9.44,-0.27,0.94,26.13,0.03,0.03,0.01
1092,-9.44,-0.28,0.93,26.14,0.03,0.03,0.01
1108,-9.44,-0.27,0.92,26.14,0.03,0.03,0.01
1125,-9.41,-0.28,0.92,26.14,0.03,0.02,0.01
1140,-9.43,-0.26,0.95,26.13,0.03,0.02,0.01
1157,-9.43,-0.26,0.89,26.14,0.03,0.02,0.01
1172,-9.47,-0.26,0.92,26.13,0.03,0.02,0.01
1188,-9.44,-0.26,0.93,26.12,0.03,0.02,0.01
1204,-9.42,-0.28,0.93,26.14,0.03,0.02,0.01
1220,-9.43,-0.28,0.94,26.15,0.03,0.02,0.01
1235,-9.43,-0.27,0.91,26.14,0.03,0.03,0.01
1252,-9.43,-0.28,0.93,26.14,0.03,0.03,0.01
1267,-9.43,-0.27,0.94,26.16,0.03,0.03,0.01
1284,-9.45,-0.27,0.95,26.12,0.03,0.03,0.01
1299,-9.45,-0.26,0.90,26.14,0.02,0.03,0.01
1315,-9.42,-0.28,0.96,26.14,0.03,0.03,0.01
1331,-9.43,-0.26,0.93,26.15,0.03,0.02,0.01
1347,-9.43,-0.26,0.91,26.14,0.03,0.02,0.01
1363,-9.42,-0.29,0.90,26.14,0.03,0.02,0.01
1379,-9.43,-0.27,0.91,26.17,0.03,0.02,0.01
1395,-9.42,-0.29,0.96,26.15,0.03,0.02,0.01
1411,-9.44,-0.26,0.94,26.14,0.03,0.02,0.01
1427,-9.42,-0.27,0.93,26.15,0.03,0.02,0.01
