Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX,gY,gZ
410,10.18,-0.03,-0.11,26.85,0.02,0.03,0.01
427,10.19,-0.03,-0.08,26.85,0.03,0.03,0.01
442,10.20,-0.06,-0.11,26.85,0.03,0.02,0.01
458,10.22,-0.04,-0.11,26.85,0.03,0.02,0.01
474,10.21,-0.05,-0.10,26.86,0.03,0.02,0.01
490,10.20,-0.06,-0.08,26.85,0.03,0.02,0.01
505,10.20,-0.04,-0.12,26.86,0.03,0.03,0.01
522,10.18,-0.04,-0.09,26.85,0.03,0.03,0.01
537,10.20,-0.04,-0.07,26.87,0.03,0.03,0.01
553,10.19,-0.05,-0.13,26.86,0.03,0.03,0.01
569,10.21,-0.06,-0.08,26.87,0.03,0.02,0.01
585,10.22,-0.04,-0.07,26.87,0.03,0.02,0.01
601,10.22,-0.06,-0.14,26.87,0.03,0.02,0.01
617,10.20,-0.06,-0.12,26.86,0.03,0.02,0.01
632,10.20,-0.06,-0.10,26.86,0.03,0.02,0.01
649,10.21,-0.05,-0.08,26.87,0.03,0.02,0.01
664,10.18,-0.06,-0.07,26.87,0.03,0.03,0.01
680,10.19,-0.05,-0.09,26.86,0.03,0.03,0.01
696,10.19,-0.06,-0.09,26.86,0.03,0.03,0.01
712,10.21,-0.04,-0.09,26.87,0.03,0.03,0.01
728,10.21,-0.02,-0.10,26.85,0.03,0.03,0.01
744,10.20,-0.05,-0.09,26.88,0.03,0.03,0.01
759,10.20,-0.04,-0.10,26.87,0.03,0.03,0.01
776,10.21,-0.03,-0.09,26.88,0.02,0.03,0.01
791,10.19,-0.05,-0.10,26.87,0.03,0.03,0.01
807,10.21,-0.03,-0.10,26.87,0.03,0.02,0.01
823,10.22,-0.04,-0.10,26.88,0.03,0.02,0.01
839,10.19,-0.03,-0.10,26.87,0.03,0.02,0.01
855,10.19,-0.04,-0.10,26.88,0.03,0.03,0.01
871,10.21,-0.05,-0.11,26.89,0.03,0.03,0.01
887,10.19,-0.04,-0.09,26.87,0.03,0.03,0.01
903,10.20,-0.05,-0.07,26.87,0.03,0.03,0.01
919,10.21,-0.05,-0.09,26.87,0.03,0.03,0.01
934,10.19,-0.05,-0.07,26.89,0.03,0.03,0.01
951,10.21,-0.07,-0.11,26.87,0.03,0.03,0.01
966,10.20,-0.07,-0.09,26.87,0.03,0.03,0.01
983,10.19,-0.04,-0.10,26.86,0.03,0.02,0.01
998,10.20,-0.05,-0.05,26.88,0.03,0.02,0.01
1014,10.20,-0.05,-0.07,26.89,0.03,0.02,0.01
1030,10.19,-0.05,-0.09,26.89,0.03,0.02,0.01
1046,10.20,-0.05,-0.11,26.89,0.03,0.03,0.01
1061,10.20,-0.06,-0.08,26.88,0.03,0.03,0.01
1078,10.19,-0.05,-0.11,26.87,0.02,0.03,0.01
1093,10.19,-0.04,-0.10,26.88,0.02,0.03,0.01
1110,10.21,-0.04,-0.10,26.87,0.02,0.03,0.01
1126,10.19,-0.04,-0.10,26.87,0.02,0.03,0.01
1141,10.20,-0.05,-0.08,26.89,0.03,0.03,0.01
1158,10.22,-0.05,-0.09,26.87,0.03,0.03,0.01
1173,10.19,-0.05,-0.08,26.87,0.03,0.03,0.01
1189,10.20,-0.03,-0.10,26.89,0.03,0.02,0.01
1205,10.21,-0.03,-0.13,26.89,0.03,0.02,0.01
1221,10.21,-0.04,-0.11,26.88,0.03,0.02,0.01
1236,10.19,-0.03,-0.10,26.89,0.03,0.02,0.01
1253,10.22,-0.06,-0.09,26.89,0.03,0.02,0.01
1269,10.19,-0.04,-0.09,26.89,0.03,0.03,0.01
1285,10.20,-0.04,-0.11,26.90,0.03,0.03,0.01
1301,10.17,-0.04,-0.08,26.89,0.03,0.03,0.01
1316,10.21,-0.05,-0.10,26.89,0.03,0.03,0.01
1333,10.21,-0.05,-0.09,26.89,0.03,0.03,0.01
1348,10.19,-0.05,-0.09,26.90,0.03,0.03,0.01
1364,10.19,-0.04,-0.11,26.89,0.03,0.02,0.01
1381,10.21,-0.05,-0.12,26.90,0.03,0.02,0.01
1396,10.22,-0.05,-0.11,26.89,0.03,0.02,0.01
1413,10.21,-0.04,-0.10,26.88,0.03,0.02,0.01
1428,10.20,-0.05,-0.10,26.91,0.03,0.02,0.01
1444,10.21,-0.05,-0.09,26.89,0.03,0.02,0.01
1460,10.20,-0.05,-0.09,26.88,0.03,0.03,0.01
1476,10.20,-0.03,-0.09,26.88,0.03,0.03,0.01
1491,10.20,-0.05,-0.10,26.89,0.03,0.03,0.01
1508,10.20,-0.05,-0.09,26.89,0.03,0.02,0.01
1524,10.21,-0.05,-0.10,26.89,0.03,0.02,0.01
1540,10.20,-0.05,-0.09,26.89,0.03,0.02,0.01
1556,10.19,-0.05,-0.08,26.89,0.03,0.02,0.01
1571,10.18,-0.04,-0.11,26.89,0.03,0.03,0.01
1588,10.19,-0.05,-0.10,26.89,0.02,0.03,0.01
1603,10.21,-0.05,-0.10,26.89,0.03,0.03,0.01
1619,10.20,-0.03,-0.08,26.89,0.03,0.03,0.01
1635,10.21,-0.04,-0.06,26.90,0.03,0.03,0.01
1651,10.21,-0.05,-0.11,26.90,0.03,0.03,0.01
1668,10.21,-0.03,-0.09,26.91,0.03,0.03,0.01
1683,10.21,-0.03,-0.10,26.91,0.03,0.02,0.01
1699,10.19,-0.05,-0.09,26.90,0.03,0.03,0.01
1715,10.19,-0.03,-0.07,26.88,0.03,0.03,0.01
1731,10.19,-0.03,-0.08,26.89,0.03,0.03,0.01
1746,10.20,-0.04,-0.08,26.90,0.03,0.02,0.01
1763,10.21,-0.04,-0.10,26.90,0.03,0.02,0.01
1778,10.20,-0.05,-0.10,26.90,0.03,0.02,0.01
1795,10.20,-0.05,-0.08,26.89,0.03,0.03,0.01
1811,10.18,-0.05,-0.10,26.89,0.03,0.02,0.01
1826,10.20,-0.05,-0.09,26.89,0.03,0.02,0.01
1843,10.21,-0.04,-0.10,26.89,0.03,0.02,0.01
1858,10.21,-0.06,-0.10,26.89,0.03,0.02,0.01
1874,10.20,-0.05,-0.12,26.90,0.03,0.02,0.01
1890,10.20,-0.06,-0.12,26.89,0.03,0.03,0.01
1906,10.21,-0.05,-0.07,26.89,0.03,0.03,0.01
1922,10.19,-0.03,-0.08,26.89,0.03,0.03,0.01
1938,10.21,-0.04,-0.09,26.89,0.03,0.03,0.01
1954,10.22,-0.05,-0.10,26.90,0.03,0.03,0.01
1970,10.20,-0.02,-0.07,26.89,0.03,0.03,0.01
1986,10.20,-0.05,-0.08,26.91,0.03,0.02,0.01
2001,10.21,-0.04,-0.12,26.91,0.03,0.02,0.01
2018,10.20,-0.04,-0.10,26.90,0.03,0.03,0.01
2033,10.20,-0.04,-0.12,26.90,0.03,0.03,0.01
2050,10.20,-0.04,-0.10,26.92,0.02,0.03,0.01
2065,10.20,-0.04,-0.09,26.90,0.03,0.03,0.01
2081,10.21,-0.04,-0.06,26.91,0.03,0.03,0.01
2098,10.22,-0.03,-0.10,26.90,0.02,0.03,0.01
2113,10.19,-0.05,-0.08,26.90,0.03,0.03,0.01
2129,10.18,-0.06,-0.06,26.91,0.03,0.03,0.01
2145,10.19,-0.03,-0.09,26.90,0.03,0.02,0.01
2161,10.19,-0.04,-0.10,26.90,0.03,0.02,0.01
2177,10.20,-0.04,-0.12,26.91,0.03,0.03,0.01
2193,10.17,-0.05,-0.11,26.91,0.03,0.03,0.01
2209,10.21,-0.04,-0.08,26.91,0.03,0.03,0.01
2225,10.20,-0.04,-0.11,26.91,0.02,0.03,0.01
2241,10.20,-0.04,-0.11,26.89,0.02,0.03,0.01
2256,10.20,-0.06,-0.09,26.89,0.02,0.03,0.01
2273,10.19,-0.05,-0.09,26.89,0.02,0.03,0.01
2288,10.19,-0.03,-0.10,26.90,0.02,0.03,0.01
2305,10.19,-0.03,-0.10,26.89,0.02,0.03,0.01
2320,10.20,-0.03,-0.08,26.89,0.03,0.03,0.01
2336,10.21,-0.04,-0.11,26.90,0.03,0.03,0.01
2353,10.21,-0.05,-0.09,26.89,0.03,0.03,0.01
2368,10.22,-0.04,-0.09,26.89,0.03,0.02,0.01
2384,10.21,-0.04,-0.10,26.89,0.03,0.02,0.01
2400,10.20,-0.04,-0.08,26.90,0.03,0.02,0.01
2416,10.18,-0.04,-0.10,26.91,0.03,0.02,0.01
2432,10.19,-0.05,-0.07,26.91,0.03,0.03,0.01
2448,10.21,-0.04,-0.08,26.89,0.02,0.03,0.01
2463,10.19,-0.03,-0.08,26.90,0.02,0.03,0.01
2480,10.22,-0.03,-0.07,26.89,0.02,0.02,0.01
2496,10.20,-0.04,-0.09,26.88,0.03,0.02,0.01
2511,10.21,-0.03,-0.09,26.90,0.03,0.02,0.01
2528,10.21,-0.03,-0.11,26.89,0.03,0.03,0.01
2543,10.20,-0.02,-0.08,26.89,0.03,0.03,0.01
2560,10.19,-0.03,-0.12,26.89,0.03,0.03,0.01
2575,10.21,-0.06,-0.11,26.90,0.03,0.03,0.01
2591,10.21,-0.05,-0.10,26.89,0.03,0.02,0.01
2607,10.19,-0.04,-0.08,26.89,0.02,0.02,0.01
2623,10.21,-0.06,-0.08,26.90,0.03,0.02,0.01
2639,10.19,-0.05,-0.11,26.91,0.03,0.03,0.01
2655,10.20,-0.04,-0.10,26.89,0.03,0.03,0.01
2671,10.20,-0.04,-0.09,26.88,0.03,0.02,0.01
2686,10.22,-0.03,-0.07,26.88,0.03,0.03,0.01
2703,10.20,-0.04,-0.09,26.91,0.03,0.02,0.01
2718,10.20,-0.02,-0.08,26.89,0.03,0.02,0.01
2735,10.21,-0.02,-0.08,26.89,0.03,0.02,0.01
2750,10.22,-0.03,-0.07,26.89,0.03,0.02,0.01
2766,10.20,-0.04,-0.09,26.89,0.03,0.03,0.01
2783,10.19,-0.06,-0.11,26.89,0.03,0.03,0.01
2798,10.21,-0.06,-0.09,26.90,0.03,0.03,0.01
2814,10.20,-0.05,-0.11,26.88,0.03,0.03,0.01
2830,10.20,-0.03,-0.11,26.90,0.03,0.03,0.01
2846,10.19,-0.02,-0.11,26.91,0.03,0.03,0.01
2862,10.20,-0.04,-0.11,26.90,0.03,0.03,0.01
2878,10.20,-0.04,-0.09,26.90,0.03,0.03,0.01
2893,10.20,-0.02,-0.11,26.90,0.03,0.02,0.01
2910,10.21,-0.03,-0.09,26.90,0.03,0.02,0.01
2926,10.21,-0.05,-0.10,26.91,0.03,0.02,0.01
2941,10.21,-0.07,-0.10,26.91,0.03,0.02,0.01
2958,10.22,-0.05,-0.10,26.90,0.03,0.03,0.01
2973,10.19,-0.05,-0.10,26.91,0.03,0.03,0.01
2990,10.18,-0.05,-0.08,26.91,0.03,0.03,0.01
3005,10.19,-0.05,-0.11,26.90,0.03,0.03,0.01
3021,10.20,-0.05,-0.10,26.89,0.03,0.03,0.01
3038,10.20,-0.03,-0.08,26.90,0.03,0.03,0.01
3053,10.20,-0.03,-0.10,26.92,0.03,0.02,0.01
3069,10.21,-0.04,-0.09,26.90,0.03,0.02,0.01
3085,10.17,-0.05,-0.10,26.90,0.03,0.02,0.01
3101,10.18,-0.04,-0.09,26.90,0.03,0.02,0.01
3117,10.20,-0.04,-0.10,26.90,0.03,0.02,0.01
3133,10.17,-0.04,-0.10,26.89,0.03,0.03,0.01
3148,10.20,-0.05,-0.08,26.91,0.02,0.03,0.01
3165,10.19,-0.03,-0.10,26.90,0.03,0.03,0.01
3180,10.18,-0.03,-0.08,26.90,0.03,0.03,0.01
3196,10.21,-0.04,-0.06,26.88,0.03,0.03,0.01
3213,10.19,-0.04,-0.09,26.89,0.03,0.02,0.01
3228,10.19,-0.04,-0.06,26.89,0.03,0.02,0.01
3245,10.20,-0.04,-0.09,26.91,0.03,0.02,0.01
3260,10.20,-0.04,-0.09,26.89,0.03,0.02,0.01
3276,10.20,-0.05,-0.11,26.90,0.02,0.03,0.01
3292,10.20,-0.07,-0.10,26.89,0.03,0.03,0.01
3308,10.20,-0.06,-0.08,26.90,0.02,0.03,0.01
3323,10.20,-0.03,-0.09,26.92,0.03,0.03,0.01
3340,10.18,-0.04,-0.10,26.92,0.02,0.03,0.01
3356,10.19,-0.02,-0.12,26.92,0.02,0.03,0.01
3372,10.22,-0.04,-0.08,26.89,0.02,0.03,0.01
3388,10.18,-0.05,-0.07,26.90,0.02,0.03,0.01
3403,10.21,-0.03,-0.08,26.90,0.03,0.03,0.01
3420,10.18,-0.01,-0.10,26.89,0.03,0.03,0.01
3435,10.22,-0.04,-0.10,26.87,0.03,0.02,0.01
3451,10.20,-0.05,-0.09,26.90,0.03,0.02,0.01
