Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX,gY,gZ
410,0.46,-10.00,0.41,26.29,0.03,0.02,0.01
427,0.47,-9.99,0.39,26.29,0.03,0.03,0.01
442,0.48,-9.99,0.41,26.27,0.03,0.03,0.01
457,0.47,-10.00,0.40,26.28,0.03,0.02,0.01
474,0.46,-9.99,0.38,26.28,0.03,0.03,0.01
490,0.47,-9.99,0.37,26.29,0.03,0.02,0.01
505,0.46,-10.00,0.35,26.30,0.03,0.02,0.01
521,0.45,-10.00,0.39,26.30,0.03,0.02,0.01
537,0.46,-9.99,0.38,26.32,0.03,0.02,0.01
552,0.44,-10.01,0.39,26.29,0.03,0.02,0.01
569,0.46,-9.98,0.38,26.30,0.03,0.02,0.01
584,0.46,-10.00,0.37,26.30,0.03,0.02,0.01
601,0.47,-10.00,0.40,26.32,0.02,0.02,0.01
617,0.47,-9.99,0.40,26.30,0.02,0.03,0.01
632,0.45,-10.00,0.37,26.31,0.02,0.03,0.01
649,0.46,-10.00,0.39,26.32,0.02,0.03,0.01
664,0.47,-10.00,0.41,26.31,0.03,0.03,0.01
680,0.47,-10.00,0.38,26.32,0.03,0.03,0.01
696,0.45,-10.00,0.36,26.32,0.03,0.02,0.01
712,0.44,-9.99,0.39,26.30,0.03,0.03,0.01
728,0.46,-10.00,0.37,26.31,0.03,0.03,0.01
744,0.46,-9.99,0.39,26.29,0.03,0.03,0.01
759,0.46,-9.99,0.38,26.30,0.03,0.03,0.01
776,0.47,-10.00,0.39,26.28,0.02,0.03,0.01
791,0.48,-10.00,0.38,26.30,0.02,0.03,0.01
807,0.47,-10.01,0.36,26.31,0.03,0.03,0.01
823,0.45,-10.00,0.41,26.31,0.03,0.03,0.01
839,0.45,-10.00,0.37,26.29,0.03,0.03,0.01
855,0.47,-9.99,0.40,26.32,0.03,0.03,0.01
871,0.45,-9.99,0.35,26.31,0.03,0.03,0.01
886,0.46,-9.98,0.38,26.29,0.03,0.03,0.01
903,0.45,-9.99,0.37,26.30,0.03,0.03,0.01
918,0.46,-9.99,0.39,26.32,0.03,0.02,0.01
934,0.46,-9.99,0.38,26.32,0.03,0.02,0.01
950,0.48,-9.98,0.38,26.31,0.03,0.02,0.01
966,0.46,-9.99,0.39,26.31,0.03,0.03,0.01
982,0.46,-10.00,0.39,26.30,0.02,0.03,0.01
998,0.45,-9.98,0.42,26.32,0.02,0.03,0.01
1013,0.48,-9.97,0.43,26.33,0.02,0.03,0.01
1030,0.46,-9.99,0.38,26.32,0.03,0.03,0.01
1045,0.47,-10.00,0.37,26.31,0.03,0.03,0.01
1061,0.46,-9.99,0.40,26.31,0.03,0.03,0.01
1077,0.46,-9.99,0.38,26.32,0.03,0.03,0.01
1093,0.46,-9.98,0.39,26.32,0.03,0.02,0.01
1108,0.47,-10.00,0.38,26.31,0.03,0.02,0.01
1125,0.46,-10.01,0.40,26.32,0.03,0.03,0.01
1140,0.46,-10.00,0.41,26.31,0.02,0.03,0.01
1157,0.47,-10.01,0.41,26.32,0.02,0.03,0.01
1173,0.46,-9.99,0.35,26.31,0.02,0.03,0.01
1188,0.46,-9.96,0.36,26.31,0.03,0.03,0.01
1205,0.45,-9.99,0.37,26.32,0.03,0.03,0.01
1220,0.45,-9.98,0.37,26.31,0.03,0.03,0.01
1236,0.45,-9.98,0.40,26.32,0.03,0.03,0.01
1252,0.45,-9.99,0.38,26.32,0.03,0.03,0.01
1268,0.45,-9.99,0.37,26.31,0.03,0.02,0.01
1284,0.47,-10.00,0.37,26.32,0.03,0.02,0.01
1300,0.47,-9.99,0.40,26.33,0.03,0.02,0.01
1315,0.45,-10.00,0.38,26.31,0.03,0.02,0.01
1332,0.45,-9.99,0.37,26.33,0.02,0.03,0.01
1347,0.46,-9.98,0.41,26.33,0.02,0.03,0.01
1363,0.45,-9.98,0.39,26.32,0.02,0.03,0.01
1380,0.46,-9.99,0.38,26.31,0.03,0.03,0.01
1395,0.47,-9.99,0.41,26.32,0.03,0.03,0.01
1412,0.46,-10.01,0.41,26.31,0.03,0.03,0.01
1427,0.47,-9.99,0.38,26.32,0.03,0.02,0.01
