Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX,gY,gZ
410,0.29,9.74,0.48,26.58,0.03,0.02,0.01
425,0.29,9.73,0.50,26.59,0.03,0.03,0.01
442,0.29,9.72,0.46,26.58,0.03,0.02,0.01
457,0.31,9.74,0.49,26.57,0.03,0.03,0.01
474,0.29,9.74,0.45,26.57,0.03,0.03,0.01
489,0.28,9.74,0.45,26.57,0.03,0.03,0.01
505,0.29,9.73,0.48,26.56,0.02,0.03,0.01
521,0.29,9.72,0.47,26.58,0.02,0.03,0.01
537,0.31,9.73,0.48,26.58,0.02,0.03,0.01
552,0.31,9.73,0.49,26.59,0.02,0.03,0.01
569,0.28,9.73,0.50,26.58,0.02,0.03,0.01
584,0.31,9.72,0.51,26.57,0.03,0.03,0.01
601,0.28,9.73,0.51,26.58,0.03,0.03,0.01
616,0.31,9.73,0.49,26.58,0.03,0.03,0.01
632,0.30,9.73,0.48,26.59,0.03,0.03,0.01
648,0.29,9.74,0.50,26.57,0.03,0.03,0.01
664,0.31,9.74,0.52,26.59,0.03,0.03,0.01
679,0.29,9.73,0.51,26.57,0.02,0.03,0.01
696,0.31,9.73,0.49,26.57,0.02,0.03,0.01
711,0.31,9.72,0.49,26.59,0.02,0.03,0.01
728,0.30,9.72,0.49,26.56,0.03,0.03,0.01
743,0.29,9.75,0.52,26.59,0.03,0.03,0.01
759,0.30,9.75,0.46,26.59,0.03,0.03,0.01
775,0.29,9.72,0.52,26.60,0.03,0.03,0.01
791,0.29,9.74,0.51,26.59,0.03,0.02,0.01
806,0.29,9.73,0.48,26.59,0.03,0.02,0.01
823,0.31,9.72,0.46,26.58,0.03,0.02,0.01
838,0.30,9.72,0.47,26.60,0.03,0.03,0.01
854,0.30,9.74,0.49,26.59,0.03,0.03,0.01
870,0.30,9.73,0.48,26.59,0.02,0.03,0.01
885,0.29,9.74,0.51,26.59,0.03,0.03,0.01
902,0.29,9.72,0.49,26.59,0.03,0.03,0.01
917,0.30,9.72,0.47,26.60,0.03,0.03,0.01
933,0.30,9.74,0.50,26.59,0.03,0.03,0.01
949,0.30,9.72,0.54,26.59,0.03,0.02,0.01
965,0.30,9.70,0.49,26.60,0.03,0.03,0.01
980,0.29,9.73,0.50,26.60,0.03,0.03,0.01
997,0.30,9.74,0.48,26.59,0.03,0.03,0.01
1012,0.30,9.73,0.48,26.59,0.02,0.03,0.01
1029,0.31,9.72,0.46,26.59,0.02,0.03,0.01
1044,0.30,9.74,0.46,26.60,0.02,0.03,0.01
1060,0.31,9.73,0.47,26.61,0.02,0.03,0.01
1076,0.31,9.73,0.48,26.60,0.02,0.03,0.01
1092,0.29,9.75,0.52,26.60,0.03,0.02,0.01
1107,0.31,9.72,0.50,26.59,0.03,0.02,0.01
1124,0.30,9.73,0.50,26.60,0.03,0.03,0.01
1139,0.29,9.72,0.50,26.59,0.03,0.03,0.01
1156,0.30,9.73,0.47,26.60,0.03,0.02,0.01
1171,0.29,9.72,0.47,26.60,0.03,0.03,0.01
1187,0.30,9.72,0.47,26.59,0.03,0.03,0.01
1203,0.31,9.73,0.47,26.58,0.03,0.02,0.01
1219,0.29,9.71,0.50,26.58,0.02,0.03,0.01
1234,0.28,9.72,0.50,26.60,0.02,0.03,0.01
1251,0.29,9.74,0.50,26.61,0.02,0.03,0.01
1267,0.28,9.72,0.47,26.59,0.03,0.03,0.01
1283,0.28,9.76,0.50,26.60,0.03,0.03,0.01
1299,0.29,9.74,0.48,26.62,0.03,0.03,0.01
1314,0.32,9.74,0.50,26.60,0.03,0.03,0.01
1331,0.29,9.72,0.48,26.60,0.03,0.03,0.01
1346,0.28,9.72,0.49,26.59,0.03,0.03,0.01
1362,0.30,9.72,0.48,26.61,0.03,0.03,0.01
