Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX,gY,gZ
410,-0.06,-0.08,-9.53,25.87,0.03,0.03,0.01
425,-0.05,-0.10,-9.52,25.88,0.03,0.02,0.01
442,-0.05,-0.07,-9.53,25.85,0.03,0.03,0.01
457,-0.05,-0.09,-9.54,25.85,0.03,0.03,0.01
474,-0.07,-0.08,-9.54,25.87,0.03,0.03,0.01
489,-0.06,-0.10,-9.54,25.86,0.03,0.03,0.01
505,-0.05,-0.07,-9.53,25.88,0.03,0.03,0.01
521,-0.06,-0.08,-9.56,25.87,0.03,0.03,0.01
537,-0.06,-0.08,-9.58,25.88,0.03,0.03,0.01
552,-0.04,-0.08,-9.54,25.87,0.03,0.03,0.01
569,-0.07,-0.08,-9.50,25.87,0.03,0.03,0.01
584,-0.04,-0.09,-9.55,25.86,0.03,0.03,0.01
601,-0.04,-0.07,-9.54,25.86,0.03,0.03,0.01
616,-0.06,-0.09,-9.57,25.86,0.03,0.02,0.01
632,-0.06,-0.09,-9.54,25.87,0.03,0.02,0.01
648,-0.06,-0.08,-9.54,25.85,0.02,0.03,0.01
664,-0.04,-0.08,-9.54,25.87,0.03,0.03,0.01
679,-0.05,-0.07,-9.50,25.88,0.03,0.03,0.01
696,-0.03,-0.08,-9.50,25.87,0.03,0.03,0.01
711,-0.05,-0.04,-9.53,25.87,0.03,0.03,0.01
728,-0.06,-0.08,-9.56,25.86,0.02,0.03,0.01
743,-0.06,-0.08,-9.55,25.87,0.03,0.03,0.01
759,-0.05,-0.09,-9.52,25.88,0.03,0.03,0.01
775,-0.05,-0.07,-9.53,25.87,0.03,0.03,0.01
790,-0.07,-0.08,-9.53,25.88,0.03,0.03,0.01
806,-0.06,-0.08,-9.50,25.87,0.03,0.03,0.01
822,-0.06,-0.09,-9.52,25.86,0.03,0.03,0.01
838,-0.07,-0.09,-9.56,25.88,0.03,0.03,0.01
854,-0.06,-0.08,-9.56,25.89,0.03,0.03,0.01
870,-0.06,-0.07,-9.50,25.88,0.03,0.03,0.01
885,-0.06,-0.08,-9.52,25.89,0.03,0.03,0.01
902,-0.05,-0.07,-9.53,25.88,0.03,0.03,0.01
917,-0.06,-0.09,-9.55,25.90,0.03,0.03,0.01
933,-0.07,-0.08,-9.55,25.89,0.03,0.03,0.01
949,-0.05,-0.10,-9.53,25.90,0.03,0.02,0.01
965,-0.05,-0.08,-9.55,25.89,0.03,0.02,0.01
980,-0.05,-0.08,-9.56,25.89,0.03,0.03,0.01
997,-0.07,-0.09,-9.56,25.90,0.03,0.03,0.01
1012,-0.05,-0.10,-9.53,25.87,0.03,0.03,0.01
1029,-0.06,-0.08,-9.52,25.89,0.03,0.03,0.01
1044,-0.04,-0.09,-9.51,25.89,0.03,0.03,0.01
1060,-0.06,-0.08,-9.56,25.90,0.03,0.03,0.01
1076,-0.06,-0.09,-9.54,25.88,0.03,0.03,0.01
1092,-0.04,-0.08,-9.52,25.89,0.03,0.03,0.01
1107,-0.06,-0.07,-9.55,25.89,0.03,0.03,0.01
1124,-0.05,-0.09,-9.53,25.88,0.03,0.03,0.01
1139,-0.04,-0.11,-9.58,25.88,0.03,0.03,0.01
1156,-0.04,-0.10,-9.53,25.88,0.03,0.03,0.01
1171,-0.05,-0.08,-9.53,25.90,0.03,0.03,0.01
1187,-0.05,-0.08,-9.55,25.89,0.03,0.03,0.01
1203,-0.06,-0.09,-9.53,25.90,0.03,0.02,0.01
1219,-0.05,-0.09,-9.53,25.89,0.03,0.03,0.01
1234,-0.05,-0.08,-9.53,25.90,0.03,0.03,0.01
1251,-0.06,-0.09,-9.54,25.89,0.03,0.03,0.01
1267,-0.06,-0.08,-9.53,25.88,0.03,0.02,0.01
1283,-0.05,-0.09,-9.52,25.90,0.03,0.02,0.01
1299,-0.03,-0.09,-9.55,25.88,0.03,0.03,0.01
1314,-0.05,-0.09,-9.54,25.90,0.03,0.03,0.01
1331,-0.04,-0.09,-9.55,25.90,0.03,0.02,0.01
1346,-0.06,-0.09,-9.52,25.90,0.03,0.02,0.01
1362,-0.06,-0.08,-9.52,25.89,0.03,0.03,0.01
1378,-0.08,-0.10,-9.54,25.89,0.03,0.03,0.01
1394,-0.06,-0.08,-9.52,25.90,0.03,0.03,0.01
1410,-0.04,-0.09,-9.54,25.91,0.03,0.03,0.01
1426,-0.04,-0.10,-9.53,25.91,0.03,0.03,0.01
1441,-0.04,-0.09,-9.55,25.92,0.03,0.03,0.01
1458,-0.06,-0.08,-9.54,25.91,0.02,0.03,0.01
1473,-0.06,-0.09,-9.54,25.90,0.03,0.03,0.01
1489,-0.07,-0.09,-9.55,25.89,0.03,0.03,0.01
1505,-0.05,-0.08,-9.53,25.89,0.03,0.03,0.01
1521,-0.05,-0.08,-9.57,25.90,0.03,0.03,0.01
1537,-0.06,-0.09,-9.52,25.89,0.03,0.03,0.01
1553,-0.05,-0.07,-9.53,25.89,0.03,0.03,0.01
1568,-0.05,-0.09,-9.53,25.89,0.03,0.03,0.01
1585,-0.07,-0.06,-9.54,25.91,0.03,0.03,0.01
1600,-0.05,-0.06,-9.52,25.89,0.03,0.03,0.01
1616,-0.05,-0.08,-9.51,25.89,0.03,0.03,0.01
1632,-0.06,-0.10,-9.55,25.91,0.03,0.03,0.01
1648,-0.08,-0.09,-9.54,25.89,0.03,0.03,0.01
1664,-0.04,-0.08,-9.56,25.89,0.03,0.02,0.01
1680,-0.05,-0.08,-9.56,25.90,0.03,0.03,0.01
1696,-0.06,-0.06,-9.51,25.90,0.03,0.03,0.01
1712,-0.04,-0.09,-9.55,25.91,0.03,0.03,0.01
1728,-0.06,-0.08,-9.54,25.89,0.03,0.03,0.01
1743,-0.04,-0.09,-9.55,25.90,0.03,0.03,0.01
1760,-0.06,-0.09,-9.53,25.89,0.03,0.03,0.01
1775,-0.06,-0.10,-9.57,25.91,0.03,0.02,0.01
1792,-0.05,-0.08,-9.52,25.91,0.03,0.03,0.01
1807,-0.08,-0.09,-9.55,25.89,0.03,0.03,0.01
1823,-0.05,-0.10,-9.54,25.90,0.03,0.03,0.01
1839,-0.06,-0.09,-9.56,25.90,0.02,0.03,0.01
1855,-0.05,-0.08,-9.58,25.89,0.03,0.03,0.01
1870,-0.05,-0.11,-9.55,25.90,0.03,0.03,0.01
1887,-0.06,-0.07,-9.55,25.91,0.03,0.03,0.01
1902,-0.04,-0.08,-9.52,25.89,0.03,0.03,0.01
1918,-0.06,-0.08,-9.54,25.90,0.03,0.02,0.01
1934,-0.04,-0.08,-9.50,25.92,0.03,0.03,0.01
1950,-0.06,-0.08,-9.49,25.91,0.03,0.03,0.01
1966,-0.05,-0.09,-9.56,25.90,0.03,0.03,0.01
1982,-0.06,-0.08,-9.56,25.89,0.03,0.03,0.01
1997,-0.07,-0.07,-9.56,25.90,0.03,0.03,0.01
2014,-0.04,-0.08,-9.54,25.91,0.03,0.03,0.01
2029,-0.05,-0.08,-9.54,25.91,0.02,0.03,0.01
2045,-0.06,-0.09,-9.52,25.90,0.03,0.02,0.01
2061,-0.05,-0.08,-9.51,25.90,0.03,0.02,0.01
2077,-0.06,-0.09,-9.52,25.92,0.03,0.02,0.01
2093,-0.06,-0.09,-9.54,25.92,0.03,0.03,0.01
2109,-0.05,-0.10,-9.56,25.90,0.03,0.03,0.01
2125,-0.06,-0.08,-9.52,25.92,0.03,0.03,0.01
2141,-0.05,-0.08,-9.53,25.92,0.03,0.02,0.01
2157,-0.07,-0.08,-9.55,25.90,0.03,0.03,0.01
2172,-0.06,-0.08,-9.56,25.90,0.03,0.02,0.01
2189,-0.06,-0.10,-9.56,25.92,0.03,0.03,0.01
2204,-0.04,-0.08,-9.54,25.89,0.03,0.03,0.01
2221,-0.06,-0.08,-9.54,25.87,0.03,0.03,0.01
2236,-0.05,-0.07,-9.50,25.89,0.03,0.02,0.01
2252,-0.08,-0.08,-9.50,25.90,0.03,0.03,0.01
2268,-0.06,-0.08,-9.53,25.91,0.03,0.03,0.01
2284,-0.06,-0.08,-9.51,25.91,0.03,0.03,0.01
2299,-0.06,-0.09,-9.56,25.90,0.03,0.03,0.01
2316,-0.05,-0.09,-9.56,25.92,0.03,0.03,0.01
2331,-0.07,-0.08,-9.57,25.90,0.03,0.03,0.01
2348,-0.06,-0.09,-9.54,25.92,0.03,0.03,0.01
2363,-0.06,-0.10,-9.54,25.93,0.03,0.03,0.01
2379,-0.06,-0.09,-9.53,25.90,0.03,0.03,0.01
2395,-0.07,-0.10,-9.55,25.90,0.03,0.03,0.01
2411,-0.07,-0.09,-9.57,25.91,0.03,0.03,0.01
2426,-0.07,-0.08,-9.53,25.91,0.03,0.03,0.01
2443,-0.05,-0.08,-9.54,25.91,0.03,0.03,0.01
2458,-0.05,-0.07,-9.52,25.90,0.03,0.03,0.01
2475,-0.04,-0.09,-9.51,25.90,0.03,0.03,0.01
2491,-0.05,-0.08,-9.53,25.91,0.03,0.03,0.01
2506,-0.06,-0.07,-9.52,25.91,0.03,0.03,0.01
2523,-0.06,-0.08,-9.53,25.90,0.03,0.03,0.01
2538,-0.05,-0.10,-9.51,25.91,0.03,0.03,0.01
2554,-0.05,-0.08,-9.51,25.90,0.03,0.03,0.01
2570,-0.06,-0.07,-9.55,25.91,0.03,0.03,0.01
2586,-0.04,-0.08,-9.55,25.90,0.03,0.03,0.01
2601,-0.06,-0.08,-9.56,25.90,0.03,0.03,0.01
2618,-0.04,-0.08,-9.53,25.90,0.03,0.03,0.01
2633,-0.05,-0.07,-9.56,25.89,0.03,0.03,0.01
2650,-0.04,-0.09,-9.52,25.90,0.03,0.03,0.01
2665,-0.04,-0.09,-9.57,25.90,0.03,0.03,0.01
2681,-0.04,-0.10,-9.52,25.91,0.03,0.03,0.01
2697,-0.07,-0.10,-9.53,25.91,0.03,0.03,0.01
2713,-0.05,-0.08,-9.53,25.90,0.03,0.03,0.01
2728,-0.05,-0.08,-9.51,25.90,0.03,0.03,0.01
2745,-0.05,-0.08,-9.52,25.91,0.03,0.03,0.01
2760,-0.05,-0.08,-9.52,25.91,0.02,0.03,0.01
2777,-0.05,-0.10,-9.54,25.90,0.03,0.03,0.01
2792,-0.04,-0.09,-9.54,25.90,0.03,0.03,0.01
2808,-0.06,-0.09,-9.58,25.92,0.03,0.03,0.01
2824,-0.07,-0.11,-9.55,25.89,0.03,0.03,0.01
2840,-0.05,-0.08,-9.54,25.90,0.03,0.03,0.01
2855,-0.04,-0.08,-9.54,25.92,0.03,0.03,0.01
2872,-0.05,-0.08,-9.51,25.91,0.03,0.03,0.01
2888,-0.06,-0.08,-9.53,25.91,0.03,0.03,0.01
2904,-0.06,-0.08,-9.52,25.90,0.03,0.03,0.01
2920,-0.06,-0.08,-9.51,25.89,0.03,0.03,0.01
2935,-0.06,-0.08,-9.51,25.89,0.03,0.03,0.01
2952,-0.05,-0.09,-9.56,25.92,0.02,0.03,0.01
2967,-0.06,-0.07,-9.53,25.90,0.02,0.03,0.01
2983,-0.06,-0.09,-9.52,25.92,0.03,0.03,0.01
2999,-0.06,-0.10,-9.51,25.90,0.03,0.03,0.01
3015,-0.04,-0.09,-9.54,25.91,0.03,0.03,0.01
3031,-0.06,-0.08,-9.57,25.90,0.03,0.03,0.01
3047,-0.04,-0.09,-9.54,25.89,0.03,0.03,0.01
3062,-0.06,-0.09,-9.54,25.89,0.03,0.03,0.01
3079,-0.06,-0.07,-9.48,25.90,0.03,0.03,0.01
3094,-0.06,-0.09,-9.54,25.89,0.03,0.03,0.01
3110,-0.05,-0.09,-9.54,25.91,0.03,0.03,0.01
3126,-0.06,-0.10,-9.54,25.92,0.03,0.03,0.01
3142,-0.05,-0.09,-9.54,25.92,0.03,0.03,0.01
3158,-0.06,-0.08,-9.54,25.92,0.03,0.03,0.01
3174,-0.04,-0.08,-9.53,25.89,0.03,0.02,0.01
3189,-0.04,-0.08,-9.54,25.91,0.03,0.03,0.01
3206,-0.05,-0.09,-9.53,25.91,0.03,0.03,0.01
3221,-0.05,-0.09,-9.56,25.91,0.03,0.02,0.01
3237,-0.06,-0.08,-9.57,25.91,0.03,0.03,0.01
3254,-0.06,-0.08,-9.52,25.90,0.03,0.03,0.01
3269,-0.05,-0.11,-9.53,25.92,0.03,0.03,0.01
3286,-0.06,-0.09,-9.56,25.93,0.03,0.03,0.01
3301,-0.06,-0.08,-9.53,25.92,0.03,0.03,0.01
3317,-0.06,-0.10,-9.55,25.90,0.03,0.03,0.01
3333,-0.06,-0.09,-9.52,25.91,0.03,0.02,0.01
3349,-0.07,-0.07,-9.54,25.91,0.02,0.03,0.01
3364,-0.05,-0.08,-9.56,25.92,0.03,0.03,0.01
3381,-0.06,-0.08,-9.54,25.92,0.03,0.03,0.01
3396,-0.07,-0.11,-9.54,25.92,0.03,0.03,0.01
3412,-0.05,-0.09,-9.56,25.92,0.03,0.03,0.01
3428,-0.06,-0.10,-9.54,25.90,0.03,0.03,0.01
3444,-0.07,-0.07,-9.53,25.91,0.03,0.03,0.01
3460,-0.06,-0.09,-9.57,25.91,0.03,0.03,0.01
3476,-0.05,-0.09,-9.56,25.91,0.03,0.02,0.01
3491,-0.05,-0.08,-9.53,25.92,0.03,0.03,0.01
3508,-0.05,-0.08,-9.53,25.91,0.03,0.03,0.01
3523,-0.05,-0.10,-9.53,25.92,0.03,0.02,0.01
3539,-0.06,-0.10,-9.53,25.90,0.03,0.03,0.01
3555,-0.07,-0.10,-9.53,25.91,0.03,0.03,0.01
3571,-0.06,-0.07,-9.54,25.92,0.03,0.03,0.01
3588,-0.05,-0.07,-9.53,25.92,0.03,0.03,0.01
3603,-0.06,-0.09,-9.53,25.90,0.03,0.03,0.01
3619,-0.06,-0.08,-9.55,25.91,0.03,0.03,0.01
3635,-0.06,-0.08,-9.54,25.91,0.03,0.03,0.01
3651,-0.05,-0.08,-9.53,25.91,0.03,0.03,0.01
3666,-0.04,-0.09,-9.53,25.91,0.03,0.03,0.01
3683,-0.06,-0.09,-9.55,25.91,0.03,0.03,0.01
3698,-0.04,-0.09,-9.52,25.92,0.03,0.03,0.01
3715,-0.04,-0.07,-9.53,25.92,0.03,0.03,0.01
3730,-0.06,-0.09,-9.53,25.92,0.02,0.03,0.01
3746,-0.07,-0.09,-9.54,25.92,0.03,0.03,0.01
3762,-0.04,-0.09,-9.54,25.91,0.03,0.03,0.01
3778,-0.06,-0.08,-9.54,25.91,0.03,0.03,0.01
3793,-0.06,-0.09,-9.54,25.91,0.03,0.03,0.01
3810,-0.06,-0.10,-9.53,25.90,0.03,0.02,0.01
3825,-0.06,-0.09,-9.54,25.91,0.03,0.03,0.01
3842,-0.03,-0.10,-9.53,25.91,0.03,0.03,0.01
3857,-0.05,-0.08,-9.53,25.92,0.03,0.02,0.01
3873,-0.05,-0.07,-9.55,25.93,0.03,0.03,0.01
3889,-0.06,-0.08,-9.55,25.93,0.03,0.03,0.01
3905,-0.06,-0.07,-9.52,25.92,0.03,0.03,0.01
3920,-0.05,-0.08,-9.52,25.92,0.02,0.03,0.01
3937,-0.06,-0.08,-9.54,25.91,0.03,0.03,0.01
