Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX,gY,gZ
410,0.85,-0.19,10.37,27.51,0.03,0.03,0.01
427,0.84,-0.18,10.41,27.52,0.03,0.03,0.01
442,0.84,-0.17,10.41,27.50,0.03,0.03,0.01
458,0.85,-0.18,10.43,27.52,0.03,0.02,0.01
474,0.83,-0.18,10.41,27.52,0.03,0.03,0.01
490,0.83,-0.18,10.43,27.52,0.03,0.03,0.01
505,0.84,-0.18,10.40,27.52,0.03,0.02,0.01
522,0.83,-0.18,10.41,27.52,0.03,0.02,0.01
537,0.82,-0.16,10.42,27.53,0.03,0.02,0.01
553,0.84,-0.19,10.42,27.53,0.03,0.02,0.01
569,0.83,-0.16,10.40,27.53,0.03,0.02,0.01
585,0.84,-0.16,10.41,27.53,0.03,0.03,0.01
601,0.82,-0.19,10.42,27.51,0.03,0.03,0.01
617,0.84,-0.18,10.42,27.54,0.03,0.02,0.01
632,0.84,-0.19,10.40,27.52,0.03,0.03,0.01
649,0.83,-0.19,10.41,27.52,0.03,0.02,0.01
665,0.83,-0.20,10.45,27.53,0.03,0.02,0.01
680,0.82,-0.18,10.40,27.52,0.03,0.03,0.01
697,0.85,-0.18,10.42,27.52,0.03,0.02,0.01
712,0.85,-0.18,10.40,27.53,0.03,0.03,0.01
729,0.83,-0.19,10.40,27.52,0.03,0.02,0.01
744,0.83,-0.19,10.42,27.57,0.03,0.03,0.01
760,0.84,-0.18,10.41,27.54,0.03,0.02,0.01
776,0.84,-0.18,10.41,27.55,0.03,0.03,0.01
792,0.82,-0.18,10.42,27.56,0.03,0.03,0.01
807,0.85,-0.19,10.36,27.52,0.03,0.03,0.01
824,0.81,-0.19,10.44,27.54,0.03,0.03,0.01
839,0.82,-0.18,10.44,27.54,0.03,0.03,0.01
856,0.82,-0.18,10.40,27.53,0.03,0.03,0.01
872,0.84,-0.18,10.40,27.54,0.03,0.02,0.01
887,0.82,-0.18,10.41,27.55,0.03,0.03,0.01
904,0.82,-0.20,10.40,27.56,0.03,0.02,0.01
919,0.83,-0.20,10.40,27.54,0.03,0.02,0.01
935,0.83,-0.20,10.44,27.53,0.03,0.03,0.01
951,0.84,-0.19,10.41,27.55,0.03,0.03,0.01
967,0.83,-0.17,10.43,27.56,0.03,0.03,0.01
983,0.83,-0.18,10.43,27.56,0.03,0.02,0.01
999,0.82,-0.18,10.43,27.55,0.03,0.02,0.01
1014,0.82,-0.17,10.40,27.56,0.03,0.02,0.01
1031,0.81,-0.19,10.39,27.55,0.03,0.02,0.01
1046,0.82,-0.20,10.42,27.57,0.03,0.02,0.01
1062,0.82,-0.19,10.42,27.56,0.03,0.02,0.01
1079,0.84,-0.19,10.40,27.55,0.03,0.03,0.01
1094,0.82,-0.19,10.42,27.56,0.03,0.03,0.01
1111,0.82,-0.17,10.41,27.55,0.03,0.03,0.01
