Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
27,0.36,-0.06,-0.89,26.51,1.36,1.55,0.82
173,0.36,-0.06,-0.88,26.46,1.21,1.42,0.82
277,0.36,-0.06,-0.88,26.51,1.24,1.38,0.68
381,0.36,-0.05,-0.89,26.55,1.44,1.45,0.74
486,0.36,-0.06,-0.89,26.51,1.24,1.41,0.76
590,0.36,-0.06,-0.88,26.65,1.12,1.51,0.71
695,0.36,-0.06,-0.89,26.55,1.08,1.37,0.89
799,0.35,-0.05,-0.89,26.60,1.37,1.37,0.93
904,0.36,-0.06,-0.88,26.65,1.24,1.40,0.92
1008,0.36,-0.06,-0.89,26.60,1.23,1.35,0.89
1113,0.36,-0.06,-0.88,26.69,1.33,1.35,0.88
1218,0.36,-0.05,-0.89,26.60,1.37,1.60,0.73
1323,0.36,-0.05,-0.88,26.65,1.18,1.35,0.75
1427,0.36,-0.06,-0.88,26.69,1.18,1.23,0.74
1531,0.36,-0.05,-0.88,26.65,1.37,1.67,0.75
1636,0.36,-0.05,-0.88,26.65,1.34,1.47,0.69
1740,0.36,-0.05,-0.89,26.74,1.21,1.48,0.79
1845,0.35,-0.05,-0.89,26.55,1.21,1.39,0.85
1949,0.36,-0.06,-0.87,26.69,1.29,1.38,0.92
2054,0.36,-0.06,-0.88,26.65,1.40,1.38,0.85
2158,0.36,-0.06,-0.89,26.69,1.39,1.68,0.79
2263,0.36,-0.06,-0.88,26.65,1.18,1.34,0.67
2367,0.36,-0.06,-0.89,26.74,1.24,1.15,0.88
2472,0.36,-0.06,-0.89,26.55,1.23,1.66,0.69
2577,0.36,-0.05,-0.89,26.74,1.27,1.20,0.85
2681,0.36,-0.06,-0.89,26.69,1.24,1.57,0.82
2786,0.36,-0.05,-0.88,26.69,1.25,1.67,0.70
2890,0.36,-0.06,-0.89,26.65,1.33,1.53,0.73
2995,0.36,-0.06,-0.89,26.69,1.18,1.31,0.65
3099,0.36,-0.06,-0.90,26.69,1.29,1.60,0.90
3204,0.36,-0.06,-0.89,26.74,1.20,1.39,0.87
3308,0.36,-0.06,-0.88,26.79,1.31,1.27,0.76
3412,0.35,-0.06,-0.88,26.74,1.40,1.54,0.73
3517,0.35,-0.06,-0.88,26.79,1.42,1.40,0.79
3621,0.36,-0.05,-0.88,26.69,1.29,1.53,0.72
3727,0.36,-0.06,-0.88,26.79,1.29,1.52,0.81
3831,0.36,-0.06,-0.88,26.79,1.27,1.31,0.67
3936,0.36,-0.06,-0.89,26.79,1.20,1.22,0.68
4040,0.36,-0.06,-0.89,26.79,1.17,1.46,0.78
4145,0.35,-0.06,-0.88,26.79,1.36,1.40,0.84
4249,0.36,-0.06,-0.89,26.88,1.12,1.08,0.63
4354,0.35,-0.06,-0.89,26.84,1.31,1.11,0.85
4458,0.36,-0.06,-0.88,26.88,1.34,1.59,0.73
4562,0.36,-0.06,-0.88,26.74,1.34,1.76,0.95
4667,0.36,-0.06,-0.88,26.84,1.29,1.86,0.70
4771,0.37,-0.06,-0.89,26.88,1.32,1.63,0.77
4876,0.36,-0.05,-0.89,26.93,1.26,1.31,0.84
4981,0.36,-0.05,-0.89,26.84,1.40,1.31,0.87
5086,0.36,-0.06,-0.89,26.79,1.42,1.11,0.68
5190,0.36,-0.05,-0.88,26.93,1.24,0.32,0.89
5295,0.35,-0.06,-0.88,26.88,1.54,1.53,0.78
5399,0.35,-0.06,-0.89,26.98,1.46,1.73,0.89
5504,0.36,-0.06,-0.89,26.93,1.31,1.15,0.69
5608,0.36,-0.05,-0.89,26.88,1.34,0.70,0.79
5712,0.35,-0.06,-0.89,26.84,1.06,0.90,0.94
5817,0.36,-0.05,-0.89,26.88,1.27,0.59,0.89
5921,0.36,-0.06,-0.88,26.88,1.16,1.34,0.79
6026,0.36,-0.06,-0.89,26.84,1.15,1.30,0.69
6130,0.35,-0.06,-0.89,26.88,1.05,0.40,0.72
6235,0.35,-0.06,-0.88,26.93,0.98,1.13,0.69
6339,0.35,-0.06,-0.88,26.93,1.19,1.44,0.73
6445,0.36,-0.06,-0.89,26.98,1.18,1.56,0.88
6549,0.36,-0.06,-0.88,26.93,1.41,1.72,0.72
6653,0.35,-0.06,-0.88,27.02,1.15,1.68,0.79
6758,0.35,-0.05,-0.89,26.98,1.34,1.34,0.79
6862,0.35,-0.06,-0.89,26.93,1.39,1.59,1.03
6967,0.35,-0.06,-0.88,26.93,1.47,1.54,0.78
7071,0.36,-0.06,-0.89,26.93,1.40,1.56,0.91
7176,0.35,-0.06,-0.89,26.88,1.37,1.51,0.85
7280,0.35,-0.05,-0.89,26.98,1.45,1.56,0.73
7385,0.35,-0.05,-0.89,26.93,1.41,1.41,0.89
7489,0.35,-0.06,-0.89,27.02,1.32,1.59,0.71
7593,0.36,-0.05,-0.90,27.02,1.39,1.44,1.05
7699,0.35,-0.06,-0.89,26.93,1.37,1.28,0.84
7803,0.35,-0.06,-0.90,26.93,1.30,1.23,0.79
7908,0.35,-0.06,-0.89,26.98,1.16,1.24,0.69
8012,0.35,-0.06,-0.87,27.02,1.31,1.68,0.94
8117,0.35,-0.06,-0.89,27.02,1.26,1.35,0.68
8221,0.37,-0.06,-0.89,27.07,1.27,1.37,0.89
8326,0.35,-0.05,-0.88,27.02,1.10,1.53,0.74
8430,0.35,-0.06,-0.89,27.02,1.36,1.35,0.92
8535,0.35,-0.06,-0.88,27.07,1.40,1.37,0.82
8639,0.36,-0.06,-0.89,27.02,1.41,1.88,0.80
8743,0.35,-0.06,-0.89,26.98,1.15,1.24,0.82
8848,0.35,-0.05,-0.89,27.07,1.23,1.31,0.73
8952,0.36,-0.06,-0.89,27.02,1.21,1.69,0.96
9058,0.35,-0.06,-0.90,27.02,1.23,1.35,0.70
9162,0.35,-0.06,-0.89,27.07,1.31,1.20,0.89
9267,0.35,-0.06,-0.89,27.02,1.32,1.47,0.88
9371,0.35,-0.05,-0.89,27.12,1.38,1.96,0.78
9476,0.35,-0.06,-0.89,26.98,1.40,1.48,0.79
9580,0.36,-0.05,-0.90,27.02,1.24,1.36,0.89
