Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
131566,8108.00,-256.00,-13728.00,26.46,179.00,215.00,104.00
131461,8216.00,-172.00,-13820.00,26.41,172.00,199.00,101.00
131566,8108.00,-256.00,-13728.00,26.46,179.00,215.00,104.00
Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
27,8228.00,-108.00,-13688.00,26.32,194.00,189.00,126.00
188,8164.00,-192.00,-13696.00,26.51,180.00,189.00,103.00
293,8156.00,-304.00,-13932.00,26.37,174.00,173.00,108.00
398,8252.00,-128.00,-13704.00,26.41,169.00,171.00,96.00
503,8200.00,-168.00,-13712.00,26.27,174.00,183.00,112.00
609,8084.00,-272.00,-13740.00,26.37,180.00,207.00,102.00
713,8240.00,-184.00,-13748.00,26.46,158.00,176.00,82.00
819,8196.00,-200.00,-13660.00,26.46,189.00,190.00,92.00
923,8288.00,-196.00,-14016.00,26.51,190.00,157.00,103.00
1029,8180.00,-264.00,-13752.00,26.37,196.00,189.00,96.00
1133,8100.00,-204.00,-13640.00,26.41,188.00,186.00,106.00
1239,8108.00,-192.00,-13816.00,26.32,176.00,176.00,110.00
1344,8108.00,-240.00,-13704.00,26.32,181.00,176.00,85.00
1448,8160.00,-144.00,-13756.00,26.41,175.00,178.00,107.00
1554,8164.00,-212.00,-13840.00,26.46,166.00,191.00,139.00
1658,8168.00,-164.00,-13796.00,26.46,179.00,183.00,102.00
1764,8232.00,-244.00,-13708.00,26.37,157.00,178.00,115.00
1869,8208.00,-168.00,-13824.00,26.46,195.00,194.00,116.00
1974,8188.00,-176.00,-13764.00,26.41,201.00,196.00,110.00
2079,8280.00,-248.00,-13880.00,26.41,188.00,190.00,90.00
2184,8184.00,-208.00,-13796.00,26.37,170.00,175.00,114.00
2289,8152.00,-212.00,-13692.00,26.46,174.00,198.00,115.00
2395,8228.00,-344.00,-13852.00,26.37,165.00,195.00,114.00
2499,8176.00,-192.00,-13676.00,26.37,183.00,186.00,102.00
2605,8208.00,-272.00,-13752.00,26.46,168.00,187.00,96.00
2709,8348.00,-172.00,-13788.00,26.37,169.00,191.00,109.00
2814,8172.00,-180.00,-13840.00,26.55,194.00,164.00,113.00
2920,8224.00,-196.00,-13724.00,26.37,174.00,195.00,106.00
3024,8236.00,-196.00,-13912.00,26.46,203.00,198.00,101.00
3130,8232.00,-152.00,-13784.00,26.37,168.00,177.00,111.00
3235,8248.00,-236.00,-13660.00,26.46,195.00,181.00,91.00
