Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
27,4032.00,-396.00,-15260.00,25.38,203.00,174.00,125.00
188,4100.00,-244.00,-15132.00,25.33,183.00,189.00,97.00
293,4108.00,-276.00,-15024.00,25.33,201.00,138.00,94.00
398,4016.00,-172.00,-15320.00,25.42,193.00,183.00,113.00
503,4040.00,-256.00,-15332.00,25.47,173.00,189.00,85.00
609,4128.00,-188.00,-14780.00,25.38,332.00,204.00,94.00
713,4124.00,-332.00,-15112.00,25.38,190.00,172.00,126.00
819,4080.00,-308.00,-15212.00,25.28,147.00,161.00,124.00
923,4108.00,-188.00,-15220.00,25.47,196.00,170.00,90.00
1029,4140.00,-320.00,-15140.00,25.38,181.00,171.00,112.00
1133,4092.00,-328.00,-15064.00,25.42,180.00,197.00,106.00
1239,4120.00,-248.00,-15268.00,25.47,187.00,184.00,85.00
1344,4096.00,-280.00,-15228.00,25.33,166.00,215.00,105.00
1448,4136.00,-200.00,-15268.00,25.38,164.00,178.00,84.00
1554,3996.00,-200.00,-15140.00,25.42,191.00,197.00,103.00
1658,4116.00,-204.00,-15040.00,25.38,161.00,187.00,88.00
1764,4100.00,-144.00,-14916.00,25.38,119.00,139.00,111.00
1869,4192.00,-268.00,-15268.00,25.42,193.00,183.00,104.00
1974,4020.00,-216.00,-15096.00,25.38,183.00,171.00,98.00
2079,4160.00,-184.00,-15204.00,25.42,217.00,193.00,97.00
2184,4048.00,-288.00,-15304.00,25.28,182.00,200.00,95.00
2289,4132.00,-284.00,-15152.00,25.47,154.00,185.00,109.00
2395,4124.00,-204.00,-15312.00,25.47,182.00,200.00,124.00
2499,4036.00,-252.00,-15204.00,25.42,172.00,176.00,124.00
2605,4116.00,-300.00,-15124.00,25.33,208.00,172.00,119.00
2709,4120.00,-212.00,-15152.00,25.38,151.00,178.00,99.00
2814,4136.00,-236.00,-15300.00,25.47,201.00,180.00,119.00
2920,4064.00,-312.00,-15164.00,25.42,186.00,182.00,126.00
3024,3988.00,-276.00,-15252.00,25.38,163.00,178.00,89.00
3130,4124.00,-296.00,-15092.00,25.42,193.00,222.00,75.00
3234,4096.00,-296.00,-15272.00,25.38,185.00,187.00,129.00
3340,4116.00,-188.00,-15076.00,25.33,170.00,191.00,98.00
3444,4172.00,-284.00,-15136.00,25.47,184.00,180.00,105.00
3550,4004.00,-256.00,-15252.00,25.42,184.00,188.00,83.00
3655,4084.00,-272.00,-15272.00,25.38,202.00,150.00,108.00
3760,4140.00,-268.00,-15332.00,25.42,177.00,189.00,117.00
3865,4044.00,-292.00,-15336.00,25.38,177.00,205.00,89.00
3970,4128.00,-200.00,-15208.00,25.38,188.00,175.00,103.00
4075,4088.00,-296.00,-15292.00,25.38,192.00,210.00,104.00
4180,4000.00,-272.00,-15108.00,25.33,180.00,184.00,97.00
4285,4156.00,-284.00,-15144.00,25.38,209.00,169.00,113.00
4390,4024.00,-288.00,-15212.00,25.42,186.00,182.00,108.00
4496,4084.00,-344.00,-15200.00,25.38,165.00,194.00,93.00
4600,4084.00,-284.00,-15108.00,25.42,142.00,190.00,103.00
4706,4040.00,-340.00,-14944.00,25.38,182.00,185.00,99.00
4810,4052.00,-260.00,-15140.00,25.28,200.00,186.00,122.00
4916,4108.00,-284.00,-15152.00,25.47,163.00,199.00,81.00
5020,4148.00,-276.00,-15256.00,25.33,195.00,186.00,120.00
5126,4044.00,-316.00,-15332.00,25.42,180.00,215.00,109.00
5231,4176.00,-216.00,-15200.00,25.42,196.00,172.00,91.00
5336,4100.00,-296.00,-15152.00,25.47,210.00,173.00,100.00
5441,4064.00,-196.00,-15132.00,25.38,181.00,202.00,107.00
5547,4048.00,-340.00,-15212.00,25.38,176.00,155.00,107.00
5651,4056.00,-368.00,-15056.00,25.42,163.00,217.00,68.00
5756,4148.00,-216.00,-15140.00,25.47,185.00,152.00,99.00
5861,4088.00,-244.00,-15008.00,25.33,187.00,188.00,98.00
5966,4100.00,-272.00,-15280.00,25.47,135.00,176.00,96.00
6071,4204.00,-316.00,-15156.00,25.38,188.00,178.00,86.00
6176,4080.00,-212.00,-15148.00,25.33,192.00,168.00,111.00
6282,4044.00,-312.00,-15152.00,25.33,183.00,181.00,125.00
6386,4084.00,-196.00,-15188.00,25.38,162.00,177.00,107.00
6492,4192.00,-232.00,-15096.00,25.38,179.00,186.00,116.00
6597,4104.00,-276.00,-15188.00,25.38,175.00,171.00,86.00
6702,4116.00,-324.00,-15332.00,25.38,161.00,196.00,95.00
6807,4052.00,-200.00,-15176.00,25.38,170.00,186.00,88.00
6912,4152.00,-304.00,-15196.00,25.38,212.00,179.00,116.00
7017,4132.00,-264.00,-15220.00,25.47,180.00,197.00,101.00
7121,4156.00,-256.00,-15148.00,25.42,175.00,179.00,106.00
7227,4084.00,-340.00,-15120.00,25.38,205.00,153.00,111.00
7332,4248.00,-212.00,-15152.00,25.33,191.00,186.00,96.00
7437,4120.00,-188.00,-15152.00,25.42,189.00,190.00,92.00
7542,4136.00,-240.00,-15008.00,25.38,200.00,177.00,115.00
7647,4212.00,-244.00,-15176.00,25.42,165.00,180.00,86.00
7752,4092.00,-224.00,-15272.00,25.47,182.00,183.00,123.00
7858,3972.00,-208.00,-15144.00,25.33,199.00,213.00,92.00
7962,4172.00,-260.00,-15320.00,25.38,228.00,172.00,113.00
