Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
12565,-204.00,-116.00,-15584.00,24.95,199.00,151.00,91.00
12670,-132.00,-192.00,-15576.00,24.95,187.00,163.00,104.00
12565,-204.00,-116.00,-15584.00,24.95,199.00,151.00,91.00
12670,-132.00,-192.00,-15576.00,24.95,187.00,163.00,104.00
Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
27,-184.00,-232.00,-15488.00,25.05,177.00,176.00,121.00
188,-232.00,-188.00,-15344.00,24.91,205.00,163.00,108.00
293,-128.00,-192.00,-15444.00,25.00,178.00,175.00,131.00
398,-140.00,-232.00,-15504.00,25.00,199.00,142.00,100.00
503,-184.00,-156.00,-15524.00,25.09,196.00,167.00,116.00
608,-284.00,-200.00,-15680.00,24.95,176.00,165.00,126.00
713,-260.00,-168.00,-15384.00,25.05,176.00,148.00,116.00
818,-172.00,-184.00,-15500.00,24.95,182.00,179.00,119.00
923,-252.00,-116.00,-15616.00,25.00,162.00,181.00,115.00
1029,-228.00,-296.00,-15600.00,24.91,189.00,168.00,112.00
1133,-348.00,588.00,-15428.00,24.95,165.00,168.00,-190.00
1239,192.00,-992.00,-15796.00,24.95,241.00,181.00,1125.00
1343,-468.00,-700.00,-15688.00,25.09,247.00,202.00,717.00
1448,-300.00,-732.00,-15560.00,25.00,279.00,183.00,1527.00
1553,76.00,-724.00,-15512.00,25.05,166.00,166.00,-298.00
1658,-160.00,-52.00,-15604.00,25.05,169.00,192.00,-467.00
1764,-16.00,-572.00,-15468.00,25.00,164.00,151.00,-251.00
1868,96.00,-232.00,-15436.00,25.00,171.00,169.00,19.00
1974,-280.00,-380.00,-15444.00,25.05,150.00,151.00,-31.00
2078,-228.00,-164.00,-15556.00,25.05,138.00,165.00,-131.00
2184,-280.00,132.00,-15500.00,25.00,155.00,148.00,-142.00
2288,-152.00,-980.00,-15484.00,25.00,176.00,206.00,277.00
2394,-24.00,-72.00,-15456.00,25.00,218.00,155.00,328.00
2498,-12.00,-1428.00,-15556.00,25.00,168.00,158.00,108.00
2604,-92.00,116.00,-15372.00,24.95,191.00,131.00,118.00
2708,-328.00,-760.00,-15464.00,25.09,158.00,195.00,-139.00
2813,-24.00,-412.00,-15532.00,24.95,160.00,144.00,-19.00
2918,-228.00,-812.00,-15596.00,25.09,169.00,211.00,68.00
3023,-32.00,-116.00,-15532.00,25.00,166.00,141.00,206.00
3128,-124.00,-688.00,-15312.00,25.14,173.00,159.00,125.00
3233,-304.00,324.00,-15520.00,25.05,197.00,174.00,346.00
3339,-372.00,68.00,-15616.00,25.00,182.00,209.00,175.00
3443,-180.00,424.00,-15596.00,25.05,191.00,173.00,8.00
