Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
27,624.00,1492.00,-15628.00,24.95,-483.00,173.00,103.00
188,760.00,1768.00,-15560.00,24.95,-189.00,176.00,67.00
293,704.00,1868.00,-15352.00,24.95,-124.00,197.00,77.00
398,740.00,1860.00,-15432.00,24.95,91.00,172.00,73.00
503,724.00,1884.00,-15600.00,24.95,-431.00,151.00,61.00
608,824.00,2116.00,-15404.00,25.00,-137.00,178.00,105.00
713,832.00,2164.00,-15224.00,24.95,122.00,206.00,95.00
819,744.00,2188.00,-15364.00,24.91,-141.00,178.00,94.00
923,692.00,2316.00,-15420.00,25.00,-60.00,175.00,102.00
1029,768.00,2284.00,-15288.00,25.05,11.00,180.00,122.00
1133,692.00,2328.00,-15392.00,25.05,-85.00,209.00,93.00
1239,692.00,2436.00,-15184.00,25.00,-42.00,218.00,-11.00
1343,556.00,2284.00,-15820.00,25.00,-1168.00,153.00,-54.00
1448,872.00,2716.00,-15276.00,24.91,-428.00,219.00,12.00
1553,712.00,2760.00,-15508.00,24.95,-811.00,167.00,95.00
1658,844.00,3008.00,-15204.00,24.91,-159.00,203.00,23.00
1764,672.00,2996.00,-15204.00,24.86,-235.00,181.00,-2.00
1868,792.00,3224.00,-14988.00,24.91,-285.00,191.00,60.00
1974,700.00,3296.00,-15012.00,25.00,-481.00,202.00,82.00
2078,768.00,3484.00,-14940.00,24.95,-345.00,171.00,102.00
2184,640.00,3612.00,-15144.00,25.00,-357.00,199.00,93.00
2288,660.00,3812.00,-15044.00,24.86,-773.00,176.00,103.00
2394,692.00,3896.00,-15060.00,24.91,-420.00,199.00,110.00
2499,740.00,3992.00,-14840.00,24.95,-2.00,170.00,100.00
2604,656.00,4096.00,-14980.00,25.05,-353.00,165.00,73.00
2709,700.00,4156.00,-14796.00,24.95,-978.00,167.00,100.00
2813,672.00,4408.00,-14908.00,24.91,-78.00,230.00,112.00
2919,748.00,4316.00,-14948.00,24.91,381.00,178.00,44.00
3024,708.00,4280.00,-15108.00,24.81,-244.00,192.00,26.00
3129,692.00,4496.00,-14852.00,25.05,-254.00,165.00,157.00
3234,664.00,4496.00,-14868.00,24.95,-108.00,197.00,115.00
3339,756.00,4640.00,-14924.00,25.00,-946.00,164.00,115.00
3444,700.00,4908.00,-14568.00,24.95,-524.00,169.00,123.00
3550,664.00,4904.00,-14788.00,25.00,-274.00,187.00,91.00
3654,684.00,5044.00,-14748.00,24.95,-1027.00,168.00,104.00
3760,748.00,5468.00,-14416.00,25.09,-687.00,120.00,139.00
3864,660.00,5540.00,-14536.00,25.00,-142.00,114.00,91.00
3970,652.00,5636.00,-14436.00,24.91,135.00,178.00,104.00
4075,680.00,5648.00,-14388.00,25.00,-107.00,160.00,79.00
4179,728.00,5724.00,-14324.00,25.00,66.00,212.00,113.00
4285,732.00,5672.00,-14500.00,25.00,25.00,172.00,92.00
4389,652.00,5644.00,-14312.00,25.00,-48.00,147.00,111.00
4495,716.00,5832.00,-14500.00,25.00,-357.00,144.00,88.00
4599,672.00,5884.00,-14388.00,25.05,-132.00,155.00,140.00
4705,660.00,5824.00,-14372.00,24.95,20.00,164.00,93.00
4810,656.00,5932.00,-14372.00,24.95,-133.00,186.00,96.00
4915,732.00,6056.00,-14236.00,24.95,-134.00,148.00,88.00
5020,600.00,6172.00,-14200.00,25.05,-145.00,164.00,125.00
5125,672.00,6232.00,-14300.00,25.00,-61.00,179.00,114.00
5230,712.00,6236.00,-14204.00,24.91,-297.00,149.00,102.00
5335,644.00,6364.00,-14268.00,24.91,-321.00,182.00,102.00
5440,664.00,6468.00,-14172.00,25.00,-391.00,199.00,107.00
5545,560.00,6520.00,-14108.00,24.95,-116.00,209.00,48.00
5650,668.00,6656.00,-14272.00,24.81,-304.00,191.00,56.00
5755,720.00,6716.00,-13972.00,25.00,-419.00,210.00,54.00
5860,564.00,6768.00,-14112.00,24.95,-89.00,183.00,90.00
5965,568.00,6864.00,-14028.00,25.00,-326.00,181.00,130.00
6071,664.00,7040.00,-13876.00,24.95,-395.00,174.00,82.00
6175,628.00,7216.00,-13600.00,24.91,-531.00,186.00,79.00
6281,656.00,7300.00,-13716.00,24.95,-686.00,186.00,93.00
6385,616.00,7456.00,-13640.00,24.91,-583.00,192.00,121.00
6491,636.00,7516.00,-13660.00,25.05,-418.00,213.00,76.00
6596,636.00,7604.00,-13356.00,24.91,-253.00,185.00,75.00
6701,640.00,7856.00,-13336.00,25.00,-157.00,178.00,70.00
6806,704.00,7784.00,-13640.00,25.00,-207.00,177.00,105.00
6910,684.00,7928.00,-13312.00,24.95,-751.00,155.00,143.00
7016,700.00,8152.00,-13276.00,25.00,-205.00,173.00,148.00
7121,648.00,7948.00,-13320.00,25.00,416.00,186.00,94.00
7226,724.00,8136.00,-13268.00,24.91,-82.00,191.00,86.00
7331,708.00,8228.00,-13384.00,25.00,-143.00,201.00,106.00
7436,732.00,8272.00,-13096.00,24.91,-437.00,203.00,45.00
7541,724.00,8320.00,-13044.00,24.95,-284.00,156.00,160.00
7646,584.00,8420.00,-13068.00,24.95,-143.00,151.00,141.00
7751,720.00,8388.00,-13108.00,25.00,-246.00,129.00,215.00
7857,692.00,8708.00,-12956.00,24.95,-425.00,141.00,145.00
7961,596.00,8676.00,-12828.00,24.95,138.00,136.00,159.00
8067,636.00,8780.00,-13180.00,24.91,-164.00,189.00,90.00
8171,676.00,8836.00,-12720.00,25.00,-177.00,207.00,59.00
8276,704.00,8888.00,-12744.00,24.91,168.00,232.00,39.00
8382,680.00,8912.00,-12880.00,24.95,-186.00,186.00,88.00
8486,688.00,8984.00,-12772.00,25.05,-353.00,204.00,110.00
8592,716.00,9280.00,-12692.00,24.95,-341.00,217.00,24.00
8696,668.00,9236.00,-12628.00,24.95,-357.00,214.00,72.00
8802,632.00,9364.00,-12532.00,24.95,-664.00,214.00,78.00
8907,632.00,9380.00,-12616.00,24.95,-374.00,198.00,48.00
9012,508.00,9508.00,-12328.00,24.95,7.00,189.00,104.00
9117,664.00,9512.00,-12300.00,24.95,78.00,13.00,327.00
9222,708.00,9648.00,-12320.00,25.00,51.00,166.00,124.00
9327,704.00,9612.00,-12228.00,24.91,448.00,190.00,112.00
9432,712.00,9544.00,-12360.00,25.00,246.00,193.00,112.00
9537,596.00,9600.00,-12352.00,25.00,-79.00,178.00,104.00
9643,612.00,9640.00,-12420.00,25.00,-539.00,170.00,87.00
9747,684.00,9760.00,-12100.00,25.00,-163.00,170.00,95.00
9852,488.00,9792.00,-12364.00,24.91,199.00,119.00,159.00
9957,648.00,9676.00,-12396.00,24.95,192.00,185.00,115.00
10062,656.00,9848.00,-12068.00,25.00,182.00,196.00,124.00
10168,696.00,9704.00,-12180.00,24.95,-75.00,202.00,81.00
10272,572.00,9784.00,-12172.00,24.95,-313.00,192.00,89.00
10378,684.00,10028.00,-12052.00,24.95,-287.00,198.00,106.00
10482,612.00,9884.00,-11836.00,24.95,338.00,286.00,-55.00
10588,520.00,9964.00,-12224.00,25.00,-167.00,257.00,0.00
10693,496.00,9984.00,-11844.00,25.00,-299.00,191.00,82.00
10798,680.00,10176.00,-11848.00,25.00,-513.00,196.00,48.00
10903,612.00,10204.00,-11752.00,25.00,-155.00,213.00,67.00
11009,612.00,10252.00,-11704.00,25.05,-106.00,170.00,127.00
