Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
27297,652.00,15696.00,-2540.00,25.47,186.00,188.00,119.00
27193,436.00,15748.00,-2540.00,25.47,202.00,168.00,95.00
27297,652.00,15696.00,-2540.00,25.47,186.00,188.00,119.00
27193,436.00,15748.00,-2540.00,25.47,202.00,168.00,95.00
27297,652.00,15696.00,-2540.00,25.47,186.00,188.00,119.00
Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
27,544.00,15900.00,-2728.00,25.57,155.00,170.00,99.00
186,664.00,15800.00,-2936.00,25.57,168.00,141.00,127.00
291,548.00,15892.00,-2624.00,25.57,195.00,194.00,102.00
396,468.00,15888.00,-2888.00,25.61,179.00,177.00,105.00
501,516.00,15916.00,-2744.00,25.57,196.00,198.00,108.00
607,396.00,15724.00,-2800.00,25.52,169.00,212.00,105.00
711,532.00,15876.00,-2760.00,25.42,191.00,181.00,101.00
817,540.00,15808.00,-2880.00,25.57,168.00,179.00,87.00
921,600.00,15888.00,-2712.00,25.57,152.00,192.00,103.00
1027,468.00,15820.00,-2768.00,25.61,165.00,181.00,131.00
1131,572.00,15896.00,-2808.00,25.47,176.00,174.00,86.00
1236,496.00,15752.00,-2744.00,25.57,193.00,184.00,95.00
1342,488.00,15872.00,-2728.00,25.52,216.00,180.00,102.00
1446,472.00,15800.00,-2804.00,25.47,187.00,181.00,99.00
1552,516.00,15804.00,-2736.00,25.47,186.00,171.00,105.00
1656,576.00,15776.00,-2776.00,25.52,165.00,165.00,117.00
1762,500.00,15844.00,-2616.00,25.57,182.00,186.00,110.00
1867,444.00,15908.00,-2780.00,25.57,180.00,150.00,109.00
1972,580.00,15880.00,-2780.00,25.52,178.00,171.00,94.00
2077,572.00,15812.00,-2768.00,25.61,195.00,184.00,126.00
2182,572.00,15748.00,-2740.00,25.57,173.00,204.00,120.00
2287,588.00,15788.00,-2904.00,25.61,166.00,193.00,98.00
2393,552.00,15916.00,-2708.00,25.47,184.00,172.00,107.00
2497,508.00,15848.00,-2788.00,25.61,184.00,173.00,90.00
2603,532.00,15800.00,-2820.00,25.57,182.00,200.00,115.00
2707,528.00,15804.00,-2644.00,25.47,195.00,196.00,116.00
2812,508.00,15856.00,-2684.00,25.47,199.00,193.00,100.00
2918,560.00,15860.00,-2704.00,25.52,164.00,190.00,65.00
3022,428.00,15832.00,-2652.00,25.52,162.00,180.00,83.00
3128,532.00,15852.00,-2728.00,25.57,183.00,193.00,100.00
3232,548.00,15832.00,-2724.00,25.61,181.00,156.00,105.00
3338,612.00,15700.00,-2936.00,25.57,144.00,173.00,108.00
3443,588.00,15820.00,-2852.00,25.52,192.00,162.00,100.00
3548,432.00,15896.00,-2692.00,25.52,156.00,199.00,117.00
3653,560.00,15816.00,-2752.00,25.52,173.00,188.00,89.00
3758,500.00,15872.00,-2868.00,25.42,183.00,209.00,95.00
