Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
35926,1.04,0.01,0.07,29.05,1.15,1.33,0.97
36030,1.03,0.01,0.11,29.00,1.48,0.18,0.90
5821,1.04,0.01,0.10,29.00,1.15,0.81,0.97
35926,1.04,0.01,0.07,29.05,1.15,1.33,0.97
36030,1.03,0.01,0.11,29.00,1.48,0.18,0.90
Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
27,1.04,0.01,0.11,29.05,1.26,0.44,0.86
171,1.03,0.02,0.07,29.05,1.43,0.77,1.15
275,1.03,0.01,0.11,29.05,1.34,0.76,0.97
379,1.04,0.01,0.08,29.09,1.35,1.11,0.92
484,1.04,0.01,0.10,29.09,1.17,0.85,0.91
588,1.04,0.01,0.07,29.05,1.35,1.30,0.94
693,1.04,0.01,0.11,29.09,1.28,0.47,0.96
797,1.04,0.01,0.08,29.09,1.17,1.57,1.04
902,1.03,0.01,0.10,29.05,1.26,0.38,1.04
1006,1.03,0.01,0.10,29.05,1.25,1.27,0.86
1111,1.04,0.01,0.09,29.09,1.19,0.71,0.98
1215,1.04,0.01,0.09,28.95,1.34,1.00,0.98
1319,1.04,0.02,0.09,29.00,1.56,0.89,1.03
1424,1.03,0.01,0.11,29.05,1.45,1.07,0.92
1528,1.04,0.01,0.08,29.05,1.34,1.29,0.95
1634,1.04,0.01,0.11,28.95,1.44,0.41,0.92
1738,1.03,0.01,0.09,29.00,1.17,1.51,1.10
1843,1.04,0.01,0.10,29.00,1.40,0.47,0.92
1947,1.04,0.01,0.10,29.05,1.24,1.39,0.82
2052,1.04,0.01,0.09,29.09,1.33,0.82,0.97
2156,1.03,0.01,0.09,29.05,1.19,1.26,0.92
2260,1.05,0.01,0.08,29.00,1.23,0.90,1.01
2365,1.03,0.01,0.11,29.00,1.28,0.91,0.85
2469,1.03,0.01,0.07,29.05,1.29,0.74,0.97
2574,1.03,0.01,0.11,28.91,1.52,0.72,1.08
2678,1.04,0.01,0.08,29.00,1.31,1.52,0.96
2783,1.04,0.01,0.10,29.05,1.34,0.34,0.95
2887,1.03,0.00,0.08,28.91,1.28,1.79,0.85
2992,1.04,0.01,0.09,29.05,1.32,0.52,1.08
3096,1.03,0.01,0.11,29.09,1.24,0.90,0.89
3201,1.04,0.01,0.08,29.00,1.33,0.92,1.02
3305,1.04,0.01,0.11,29.05,1.24,0.99,1.10
3409,1.04,0.01,0.08,29.09,1.24,1.35,0.98
3515,1.04,0.01,0.11,29.00,1.19,0.61,0.96
3619,1.04,0.01,0.08,29.05,1.08,1.58,1.01
3724,1.04,0.01,0.11,28.95,1.42,0.55,0.99
3828,1.04,0.01,0.10,28.95,1.38,0.85,1.06
3933,1.04,0.01,0.09,29.05,1.50,-0.04,0.98
4037,1.04,0.01,0.09,28.91,1.60,0.48,0.83
4142,1.04,0.01,0.07,29.05,1.30,0.79,0.94
4246,1.03,0.01,0.10,29.05,1.24,1.19,1.04
4350,1.04,0.02,0.07,29.00,1.29,1.02,1.07
4455,1.04,0.01,0.10,28.91,1.24,0.73,0.97
4559,1.04,0.01,0.07,29.05,1.46,1.15,1.05
4664,1.04,0.01,0.11,29.00,2.91,1.40,1.18
4768,1.03,0.01,0.08,29.00,1.47,1.85,1.10
4873,1.04,0.01,0.10,29.05,1.34,0.47,1.09
4977,1.04,0.01,0.10,29.00,1.35,1.25,0.96
5082,1.03,0.00,0.09,29.05,1.52,1.34,1.11
5186,1.04,0.00,0.11,28.95,1.65,1.39,1.18
5291,1.04,0.01,0.08,29.09,1.90,1.74,1.13
5396,1.05,0.03,0.11,29.09,6.25,-0.05,2.21
5500,1.04,0.00,0.07,29.05,4.39,2.23,1.26
5605,1.04,0.02,0.11,29.00,2.60,0.74,2.16
5709,1.04,0.01,0.09,29.05,0.23,1.56,0.45
5814,1.04,0.01,0.09,29.05,0.59,0.50,0.53
