Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX,gY,gZ 
27,0.02,1.00,0.02,29.14,0.12,0.15,1.18
171,0.02,1.00,0.11,29.19,1.72,1.28,0.92
275,-0.01,0.99,-0.05,29.19,0.40,0.67,1.11
379,0.03,1.00,0.11,29.19,2.39,1.33,0.90
484,0.02,0.99,-0.01,29.24,0.48,0.02,1.28
588,0.03,1.00,0.09,29.14,2.34,1.21,0.76
693,0.02,1.00,0.04,29.24,0.38,0.20,1.18
797,0.03,1.01,0.04,29.19,1.98,1.50,0.93
902,0.02,1.00,0.09,29.19,0.99,0.60,1.02
1006,0.02,1.00,-0.03,29.24,1.24,1.39,0.74
1111,0.02,1.00,0.11,29.24,1.47,1.34,0.85
1215,0.02,0.99,-0.04,29.19,0.50,0.86,1.03
1319,0.02,0.99,0.12,29.24,1.85,1.75,0.92
1424,0.02,0.99,-0.01,29.24,0.43,-0.12,1.21
1529,0.03,1.01,0.07,29.19,2.41,1.58,0.84
1634,0.02,1.00,0.06,29.19,0.42,-0.05,1.19
1738,0.02,1.00,0.01,29.24,1.98,1.51,0.89
1843,0.02,1.00,0.09,29.19,1.05,0.63,1.21
1947,0.00,0.99,-0.05,29.14,1.18,1.50,0.89
2052,0.02,1.00,0.10,29.28,1.85,1.17,0.96
2156,-0.00,0.99,-0.05,29.28,0.49,0.80,1.05
2260,0.03,1.00,0.12,29.28,2.49,1.36,1.07
2365,0.03,1.00,0.04,29.24,0.18,0.46,1.06
2469,0.03,1.00,0.05,29.24,2.41,1.31,0.87
2574,0.02,1.00,0.10,29.14,0.27,0.68,0.98
2678,0.01,1.00,-0.01,29.24,1.92,1.37,0.83
2783,0.01,1.00,0.10,29.14,0.77,0.76,1.06
2887,0.00,0.98,-0.05,29.24,0.87,1.12,0.92
2992,0.02,1.00,0.11,29.24,1.93,1.26,0.92
3096,0.02,1.00,-0.03,29.24,0.50,0.69,1.19
3202,0.03,1.00,0.10,29.14,2.56,1.10,0.92
3306,0.03,0.99,-0.01,29.28,0.23,0.28,1.10
3410,0.03,1.01,0.10,29.19,2.44,1.32,0.60
3515,0.03,1.00,0.05,29.24,0.26,0.57,0.86
3619,0.02,0.99,0.04,29.19,1.86,1.27,0.88
3724,0.01,1.00,0.10,29.14,0.94,1.10,0.93
3828,0.00,0.99,-0.04,29.24,0.98,1.23,0.97
3933,0.02,1.00,0.11,29.19,1.89,1.15,1.05
4037,0.02,0.99,-0.03,29.19,0.37,0.69,1.01
4142,0.03,1.01,0.11,29.14,2.49,1.24,0.88
4246,0.03,1.00,0.02,29.28,0.11,0.29,1.02
4350,0.04,1.00,0.05,29.19,2.37,1.35,0.97
4455,0.03,1.01,0.03,29.19,0.22,0.54,0.93
4559,0.03,1.00,0.04,29.28,1.93,1.18,1.05
4664,0.02,1.00,0.09,29.14,1.15,0.79,0.89
4768,0.01,0.99,-0.02,29.28,1.26,1.49,1.12
4873,0.02,1.00,0.10,29.19,1.79,1.15,1.02
4978,0.00,0.98,-0.04,29.24,0.33,1.22,1.11
5083,0.03,1.00,0.10,29.24,2.50,1.30,0.98
5187,0.03,1.00,0.01,29.19,0.05,0.30,0.97
5292,0.04,1.00,0.06,29.24,2.51,1.26,0.70
5396,0.02,1.00,0.08,29.19,0.24,0.38,0.97
5500,0.02,1.00,-0.00,29.24,2.05,1.34,0.82
5605,0.02,1.01,0.08,29.19,0.90,0.76,1.15
5709,0.00,1.00,-0.02,29.19,1.12,1.24,0.84
5814,0.01,1.00,0.12,29.24,1.86,1.13,0.86
5918,0.00,0.99,-0.05,29.24,0.44,0.76,0.98
6023,0.03,1.00,0.11,29.28,2.53,1.20,0.85
6127,0.03,1.00,-0.02,29.24,0.31,0.35,0.99
6232,0.04,1.00,0.07,29.33,2.66,1.37,0.76
6336,0.02,1.01,0.06,29.19,0.38,0.50,0.79
6440,0.01,1.00,0.01,29.24,1.87,1.44,1.00
6545,0.01,1.00,0.11,29.28,1.02,0.86,0.96
6649,0.00,0.99,-0.05,29.24,0.99,1.18,1.00
6755,0.02,1.00,0.11,29.19,1.53,1.19,1.04
6859,0.00,0.99,-0.04,29.24,0.34,0.79,1.09
6964,0.03,1.00,0.12,29.28,2.47,1.36,0.81
7068,0.03,1.00,-0.00,29.24,0.17,0.36,1.03
7173,0.04,1.00,0.08,29.24,2.60,1.05,0.78
7277,0.03,1.00,0.07,29.28,0.60,0.49,0.90
7382,0.02,1.00,0.02,29.24,2.24,1.40,0.82
7486,0.01,1.00,0.11,29.19,0.95,0.95,1.17
7590,0.01,0.98,-0.05,29.28,1.15,1.37,1.08
7695,0.03,1.00,0.12,29.24,1.84,0.95,0.95
7799,-0.00,0.99,-0.04,29.28,0.45,0.69,1.15
7904,0.03,1.00,0.11,29.24,2.38,1.16,1.07
8008,0.03,0.99,-0.01,29.24,0.14,0.44,1.21
8113,0.04,1.00,0.10,29.24,2.48,1.14,0.69
8217,0.03,1.00,0.04,29.14,0.18,0.35,0.79
8322,0.02,1.00,0.04,29.28,2.11,1.37,0.76
8427,0.01,1.00,0.10,29.09,1.19,1.05,0.98
8531,0.00,0.99,-0.03,29.28,1.17,1.21,0.95
8636,0.02,1.00,0.10,29.28,1.82,0.97,0.98
8740,0.00,0.99,-0.06,29.19,0.46,0.75,1.19
8845,0.03,1.00,0.12,29.28,2.48,1.33,0.82
8949,0.02,1.00,-0.01,29.28,0.15,0.44,1.12
9054,0.03,1.00,0.08,29.28,2.53,1.27,0.78
