Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (°/s),gY (°/s),gZ (°/s)
27,0.05,-0.99,0.07,29.19,1.44,0.99,0.86
172,0.05,-1.01,0.08,29.19,1.47,0.90,0.95
276,0.05,-1.01,0.08,29.28,1.35,1.04,0.77
380,0.06,-1.03,0.08,29.14,1.42,0.88,1.06
485,0.05,-0.99,0.09,29.19,1.26,0.89,0.94
589,0.04,-1.04,0.08,29.24,1.28,1.05,1.02
694,0.05,-1.00,0.08,29.24,1.15,0.82,0.89
798,0.05,-1.03,0.08,29.19,1.44,1.08,1.04
903,0.04,-1.00,0.08,29.28,1.22,0.98,0.80
1007,0.05,-1.02,0.08,29.14,1.28,1.02,1.02
1112,0.05,-1.02,0.09,29.28,1.35,0.86,0.83
1216,0.05,-1.00,0.07,29.24,1.31,0.82,0.80
1320,0.06,-1.02,0.08,29.19,1.20,1.05,0.99
1426,0.04,-1.00,0.07,29.14,1.49,1.02,0.92
1530,0.06,-1.02,0.08,29.19,1.30,1.02,1.12
1635,0.05,-0.99,0.09,29.14,1.11,0.90,0.82
1739,0.06,-1.03,0.08,29.19,1.31,0.96,1.09
1844,0.05,-1.00,0.08,29.24,1.15,0.95,0.75
1948,0.04,-1.02,0.08,29.19,1.30,0.96,0.93
2053,0.06,-1.01,0.08,29.19,1.12,0.85,0.95
2157,0.05,-1.01,0.08,29.24,1.31,1.05,0.86
2262,0.05,-1.03,0.08,29.19,1.17,1.05,0.98
2366,0.05,-1.00,0.07,29.14,1.31,0.92,1.05
2470,0.05,-1.03,0.08,29.28,1.37,0.98,1.14
2575,0.05,-0.99,0.08,29.24,1.52,0.95,0.94
2679,0.06,-1.02,0.08,29.33,1.34,1.12,1.03
2784,0.05,-1.00,0.08,29.19,1.65,0.87,0.98
2888,0.05,-1.02,0.08,29.14,1.21,0.94,1.10
2993,0.05,-1.01,0.08,29.28,1.56,0.92,1.05
3098,0.04,-1.01,0.08,29.24,1.11,0.94,0.89
3203,0.06,-1.03,0.08,29.19,1.33,0.93,1.05
3307,0.05,-0.99,0.08,29.24,1.40,1.00,1.08
3411,0.05,-1.03,0.08,29.19,1.34,1.04,1.20
3516,0.05,-0.99,0.08,29.24,1.27,0.98,0.86
3620,0.05,-1.03,0.08,29.24,1.51,1.12,1.06
3725,0.05,-1.00,0.08,29.28,1.31,0.92,0.92
3829,0.05,-1.03,0.08,29.24,1.46,1.04,0.94
3934,0.05,-1.02,0.08,29.24,1.02,0.93,0.89
4038,0.04,-1.00,0.08,29.19,1.45,1.01,1.00
4143,0.05,-1.03,0.08,29.24,1.06,0.84,0.92
4247,0.04,-1.00,0.08,29.19,1.41,1.02,0.98
4352,0.06,-1.03,0.08,29.24,1.17,1.04,0.99
4456,0.05,-1.00,0.08,29.28,1.44,1.02,0.82
4560,0.06,-1.03,0.07,29.28,1.17,0.97,1.08
4666,0.05,-1.00,0.08,29.24,1.40,1.00,0.89
4770,0.05,-1.02,0.08,29.19,1.06,1.06,0.99
4875,0.05,-1.01,0.08,29.24,1.40,1.00,1.04
4979,0.05,-1.01,0.07,29.28,1.25,0.92,1.09
5084,0.05,-1.02,0.07,29.24,1.47,0.98,1.11
5188,0.05,-0.99,0.08,29.28,1.08,0.98,1.03
5293,0.05,-1.03,0.09,29.28,1.50,0.88,0.95
5397,0.04,-1.00,0.07,29.19,1.31,1.05,0.87
5501,0.05,-1.03,0.08,29.24,1.47,1.13,1.07
