X,Y,Z
12.04,-0.36,0.90
12.18,-0.85,0.86
12.16,-0.85,0.90
12.13,-0.85,0.95
12.18,-0.36,0.86
12.07,-0.36,0.86
12.16,-0.85,0.90
12.04,-0.85,0.90
12.16,-0.85,0.90
12.16,-0.85,0.90
12.16,-0.85,0.90
12.04,-0.36,0.90
12.18,-0.36,0.86
12.18,-0.85,0.86
12.07,-0.36,0.86
12.16,-0.85,0.90
12.04,-0.36,0.90
12.04,-0.36,0.90
12.16,-0.36,0.90
12.16,-0.85,0.90
12.18,-0.85,0.86
12.18,-0.85,0.86
12.18,-0.85,0.86
12.07,-0.36,0.86
12.16,-0.85,0.90
12.18,-0.36,0.86
12.18,-0.36,0.86
12.04,-0.85,0.90
12.07,-0.85,0.86
12.18,-0.85,0.86
12.04,-0.85,0.90
12.07,-0.36,0.86
12.16,-0.85,0.90
12.04,-0.36,0.90
12.18,-0.36,0.86
12.13,-0.85,0.95
12.18,-0.85,0.86
12.16,-0.36,0.90
12.18,-0.85,0.86
12.18,-0.85,0.86
12.04,-0.85,0.90
12.18,-0.85,0.86
12.04,-0.85,0.90
12.04,-0.85,0.90
12.16,-0.85,0.90
12.16,-0.36,0.90
12.16,-0.85,0.90
12.18,-0.85,0.86
12.18,-0.36,0.86
12.18,-0.36,0.86
12.18,-0.36,0.86
12.07,-0.85,0.86
12.16,-0.85,0.90
12.16,-0.85,0.90
12.16,-0.85,0.90
12.30,-0.85,0.86
12.18,-0.85,0.86
12.18,-0.36,0.86
12.04,-0.85,0.90
12.18,-0.85,0.86
12.01,-0.85,0.95
12.01,-0.85,0.95
12.16,-0.85,0.90
12.01,-0.85,0.95
12.01,-0.36,0.95
12.04,-0.36,0.90
12.04,-0.36,0.90
12.07,-0.85,0.86
12.07,-0.85,0.86
12.07,-0.85,0.86
12.07,-0.85,0.86
12.18,-0.36,0.86
12.16,-0.36,0.90
12.04,-0.85,0.90
12.16,-0.36,0.90
12.18,-0.85,0.86
12.04,-0.36,0.90
12.07,-0.36,0.86
12.07,-0.85,0.86
12.18,-0.85,0.86
12.21,-0.36,0.81
12.18,-0.85,0.86
12.18,-0.36,0.86
12.07,-0.85,0.86
12.16,-0.36,0.90
12.18,-0.85,0.86
12.18,-0.36,0.86
12.16,-0.85,0.90
12.07,-0.36,0.86
12.01,-0.36,0.95
12.16,-0.36,0.90
12.04,-0.36,0.90
12.16,-0.36,0.90
12.18,-0.36,0.86
12.16,-0.36,0.90
12.07,-0.85,0.86
12.18,-0.85,0.86
12.13,-0.85,0.95
12.07,-0.36,0.86
12.18,-0.85,0.86
12.04,-0.36,0.90
12.07,-0.85,0.86
12.18,-0.85,0.86
12.18,-0.85,0.86
12.18,-0.36,0.86
12.18,-0.36,0.86
12.04,-0.36,0.90
12.13,-0.36,0.95
12.04,-0.36,0.90
12.18,-0.85,0.86
12.16,-0.36,0.90
12.18,-0.85,0.86
12.07,-0.85,0.86
12.07,-0.36,0.86
12.16,-0.85,0.90
12.18,-0.85,0.86
12.18,-0.85,0.86
12.18,-0.36,0.86
12.16,-0.85,0.90
12.18,-0.85,0.86
12.16,-0.85,0.90
12.16,-0.85,0.90
12.16,-0.85,0.90
12.18,-0.36,0.86
12.16,-0.85,0.90
12.07,-0.36,0.86
12.18,-0.85,0.86
12.16,-0.85,0.90
12.16,-0.85,0.90
12.16,-0.36,0.90
12.18,-0.36,0.86
12.07,-0.85,0.86
12.07,-0.36,0.86
12.16,-0.36,0.90
12.18,-0.85,0.86
12.18,-0.36,0.86
12.04,-0.85,0.90
12.16,-0.36,0.90
12.16,-0.36,0.90
12.18,-0.85,0.86
12.16,-0.85,0.90
12.18,-0.36,0.86
12.04,-0.85,0.90
12.07,-0.36,0.86
12.16,-0.85,0.90
12.16,-0.85,0.90
12.04,-0.36,0.90
12.07,-0.36,0.86
12.21,-0.36,0.81
12.04,-0.85,0.90
12.18,-0.36,0.86
12.18,-0.85,0.86
12.16,-0.36,0.90
12.18,-0.85,0.86
12.16,-0.36,0.90
12.16,-0.85,0.90
12.16,-0.85,0.90
12.13,-0.36,0.95
12.13,-0.85,0.95
12.04,-0.36,0.90
12.18,-0.85,0.86
12.16,-0.36,0.90
12.16,-0.85,0.90
12.18,-0.36,0.86
12.18,-0.85,0.86
12.18,-0.36,0.86
12.18,-0.85,0.86
12.04,-0.85,0.90
12.18,-0.85,0.86
12.07,-0.36,0.86
12.18,-0.36,0.86
12.16,-0.85,0.90
12.16,-0.36,0.90
12.07,-0.36,0.86
12.16,-0.85,0.90
12.16,-0.36,0.90
12.18,-0.36,0.86
12.16,-0.85,0.90
12.16,-0.85,0.90
12.07,-0.36,0.86
12.16,-0.85,0.90
12.16,-0.85,0.90
12.16,-0.36,0.90
12.18,-0.36,0.86
12.16,-0.36,0.90
12.04,-0.36,0.90
12.18,-0.36,0.86
12.18,-0.85,0.86
12.16,-0.36,0.90
12.27,-0.85,0.90
12.07,-0.85,0.86
12.04,-0.36,0.90
12.18,-0.85,0.86
12.16,-0.36,0.90
12.16,-0.36,0.90
12.16,-0.36,0.90
12.04,-0.85,0.90
12.16,-0.85,0.90
12.18,-0.85,0.86
12.04,-0.36,0.90
12.04,-0.36,0.90
12.16,-0.36,0.90
12.27,-0.36,0.90
12.07,-0.36,0.86
12.07,-0.85,0.86
12.13,-0.85,0.95
12.18,-1.34,0.86
12.16,-0.85,0.90
12.18,-0.85,0.86
12.13,-0.85,0.95
12.04,-0.85,0.90
12.16,-0.36,0.90
12.18,-0.85,0.86
12.13,-0.85,0.95
12.16,-0.36,0.90
12.04,-0.85,0.90
12.16,-0.85,0.90
12.16,-0.85,0.90
12.18,-0.36,0.86
12.16,-0.85,0.90
12.16,-0.85,0.90
12.07,-0.36,0.86
12.07,-0.36,0.86
12.18,-0.85,0.86
12.16,-0.85,0.90
12.18,-0.85,0.86
12.04,-0.85,0.90
12.18,-0.85,0.86
12.16,-0.85,0.90
12.18,-0.85,0.86
12.18,-0.85,0.86
12.07,-0.85,0.86
12.16,-0.85,0.90
12.18,-0.36,0.86
12.16,-0.85,0.90
12.04,-0.36,0.90
12.07,-0.36,0.86
12.16,-0.85,0.90
12.16,-0.85,0.90
12.16,-0.36,0.90
12.04,-0.85,0.90
12.04,-0.36,0.90
12.16,-0.85,0.90
12.18,-0.85,0.86
12.18,-0.36,0.86
12.18,-0.36,0.86
12.18,-0.85,0.86
12.16,-0.36,0.90
12.04,-0.36,0.90
12.18,-0.36,0.86
12.18,-0.36,0.86
12.18,-0.85,0.86
12.18,-0.85,0.86
12.18,-0.85,0.86
12.16,-0.85,0.90
12.18,-0.36,0.86
12.16,-0.85,0.90
12.07,-0.85,0.86
12.16,-0.36,0.90
12.13,-0.85,0.95
12.16,-0.85,0.90
12.16,-0.85,0.90
12.18,-0.36,0.86
12.18,-0.85,0.86
12.21,-0.85,0.81
12.13,-0.85,0.95
12.18,-0.85,0.86
12.13,-0.36,0.95
12.16,-0.85,0.90
12.07,-0.36,0.86
12.18,-0.85,0.86
12.16,-0.36,0.90
12.18,-0.36,0.86
12.18,-0.85,0.86
