Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
27,0.51,-0.01,-0.81,24.39,1.34,1.39,0.78
173,0.52,-0.02,-0.82,24.39,1.33,1.41,0.82
277,0.52,-0.02,-0.81,24.39,1.26,1.43,0.82
381,0.52,-0.02,-0.80,24.34,1.21,1.16,0.78
486,0.52,-0.01,-0.82,24.39,1.26,1.34,0.89
590,0.51,-0.01,-0.82,24.34,1.24,1.43,0.82
695,0.52,-0.02,-0.81,24.39,1.21,1.16,0.80
799,0.51,-0.02,-0.81,24.34,1.23,1.36,1.01
904,0.52,-0.02,-0.81,24.39,1.23,1.37,0.73
1008,0.52,-0.02,-0.81,24.29,1.42,1.39,0.79
1114,0.52,-0.02,-0.81,24.39,1.37,1.52,0.80
1218,0.51,-0.01,-0.81,24.25,1.50,1.42,0.82
1323,0.52,-0.01,-0.82,24.34,1.17,1.24,0.81
1427,0.52,-0.02,-0.82,24.39,1.20,1.42,0.82
1531,0.51,-0.01,-0.82,24.44,1.38,1.40,0.76
1636,0.52,-0.02,-0.81,24.34,1.05,1.34,0.97
1740,0.51,-0.01,-0.81,24.29,1.27,1.40,0.79
1845,0.51,-0.01,-0.81,24.39,1.31,1.56,0.75
1949,0.52,-0.01,-0.81,24.44,1.28,1.51,0.79
2054,0.52,-0.02,-0.81,24.39,1.27,1.47,0.90
2158,0.52,-0.02,-0.82,24.39,1.19,1.44,0.73
2263,0.52,-0.02,-0.82,24.44,1.34,1.55,0.73
2367,0.52,-0.02,-0.82,24.39,1.21,1.51,0.80
2472,0.51,-0.01,-0.82,24.39,1.22,1.58,0.82
2577,0.52,-0.02,-0.81,24.34,1.37,1.45,0.94
2681,0.52,-0.01,-0.82,24.29,1.40,1.49,0.76
2786,0.52,-0.01,-0.82,24.44,1.32,1.08,0.88
2890,0.51,-0.02,-0.81,24.44,1.22,1.51,0.86
2995,0.51,-0.02,-0.82,24.39,1.11,1.32,0.90
3099,0.52,-0.02,-0.82,24.44,1.29,1.47,0.97
3204,0.51,-0.02,-0.81,24.39,1.33,1.40,0.90
3308,0.51,-0.01,-0.82,24.39,1.30,1.38,0.89
3412,0.52,-0.02,-0.81,24.39,1.27,1.27,0.84
3517,0.51,-0.01,-0.81,24.48,1.34,1.27,0.80
3621,0.52,-0.01,-0.82,24.44,1.14,1.34,0.72
3727,0.52,-0.02,-0.80,24.39,1.15,1.28,0.85
3831,0.52,-0.02,-0.82,24.39,1.27,1.44,0.89
3936,0.52,-0.01,-0.81,24.44,1.41,1.37,0.73
4040,0.52,-0.02,-0.82,24.39,1.34,1.49,0.73
4145,0.52,-0.02,-0.82,24.48,1.24,1.44,0.69
4249,0.51,-0.02,-0.81,24.34,1.24,1.28,0.84
4354,0.52,-0.02,-0.82,24.34,0.98,1.60,0.78
4458,0.51,-0.02,-0.81,24.39,1.09,1.48,0.90
4562,0.51,-0.02,-0.81,24.34,1.27,1.62,0.71
4667,0.52,-0.02,-0.81,24.44,1.31,1.45,0.79
4771,0.52,-0.01,-0.81,24.34,1.34,1.40,0.82
4876,0.52,-0.02,-0.81,24.48,1.31,1.33,0.67
4980,0.52,-0.02,-0.82,24.44,1.46,1.26,0.86
5086,0.52,-0.01,-0.82,24.44,1.32,1.74,0.70
5190,0.52,-0.01,-0.82,24.53,1.18,1.18,0.91
5295,0.52,-0.01,-0.82,24.34,1.47,1.44,0.75
5399,0.51,-0.02,-0.82,24.48,1.38,1.26,0.78
5504,0.52,-0.02,-0.81,24.39,1.31,1.43,0.73
5608,0.52,-0.02,-0.81,24.44,1.28,1.55,0.68
5712,0.52,-0.02,-0.81,24.39,1.36,1.49,0.73
5817,0.53,-0.02,-0.82,24.48,1.14,1.32,0.83
5921,0.52,-0.02,-0.82,24.44,1.29,1.50,0.90
6026,0.52,-0.01,-0.82,24.44,1.32,1.39,0.70
6130,0.51,-0.02,-0.81,24.48,1.31,1.33,0.85
6235,0.52,-0.02,-0.82,24.39,1.29,1.42,0.98
6340,0.51,-0.02,-0.80,24.53,1.31,1.46,0.81
6445,0.51,-0.02,-0.80,24.39,1.44,1.24,0.77
6549,0.52,-0.02,-0.81,24.39,1.32,1.31,0.78
6653,0.51,-0.02,-0.80,24.44,1.19,1.50,0.89
6758,0.51,-0.01,-0.80,24.48,1.42,1.59,0.76
6862,0.51,-0.01,-0.81,24.48,1.24,1.45,0.83
6967,0.51,-0.01,-0.81,24.48,1.34,1.28,0.92
7071,0.51,-0.02,-0.82,24.44,1.39,1.44,0.82
7176,0.51,-0.02,-0.82,24.44,1.32,1.37,0.97
7280,0.51,-0.02,-0.82,24.48,1.17,1.44,0.98
7385,0.51,-0.02,-0.82,24.48,1.31,1.51,0.84
7489,0.52,-0.01,-0.82,24.44,1.21,1.39,0.76
7595,0.52,-0.01,-0.81,24.44,1.47,1.61,0.73
7699,0.51,-0.02,-0.81,24.53,1.15,1.37,0.69
7803,0.52,-0.01,-0.81,24.58,1.15,1.42,0.71
7908,0.52,-0.02,-0.82,24.44,1.22,1.41,0.86
8012,0.51,-0.01,-0.81,24.53,1.22,1.47,0.74
8117,0.51,-0.01,-0.82,24.53,1.28,1.56,0.90
8221,0.51,-0.02,-0.82,24.48,1.31,1.28,0.82
8326,0.52,-0.02,-0.82,24.48,1.27,1.43,0.89
8430,0.52,-0.01,-0.83,24.48,1.27,1.38,0.82
8535,0.52,-0.02,-0.82,24.62,1.17,1.48,0.88
8639,0.52,-0.01,-0.82,24.48,1.25,1.41,1.03
8743,0.51,-0.02,-0.82,24.48,1.14,1.41,0.92
8849,0.52,-0.01,-0.81,24.48,1.24,1.60,0.85
8953,0.52,-0.02,-0.82,24.53,1.24,1.48,0.79
9058,0.52,-0.01,-0.82,24.62,1.49,1.37,0.90
9162,0.52,-0.02,-0.81,24.48,1.34,1.44,0.85
9267,0.51,-0.01,-0.82,24.53,1.39,1.35,0.64
9371,0.51,-0.01,-0.80,24.44,1.18,1.48,0.73
9476,0.52,-0.01,-0.81,24.39,1.20,1.40,0.79
9580,0.51,-0.01,-0.81,24.48,1.13,1.21,0.84
9684,0.52,-0.01,-0.81,24.48,1.15,1.38,0.88
9789,0.52,-0.01,-0.82,24.48,1.39,1.44,0.95
9893,0.52,-0.01,-0.81,24.44,1.38,1.37,0.94
9998,0.51,-0.02,-0.82,24.53,1.49,1.32,0.80
10103,0.52,-0.02,-0.82,24.48,1.15,1.40,0.67
10208,0.52,-0.02,-0.80,24.39,1.37,1.37,0.88
10312,0.51,-0.01,-0.82,24.53,1.13,1.47,1.02
10417,0.52,-0.02,-0.82,24.58,1.30,1.56,0.71
10521,0.51,-0.01,-0.81,24.58,1.26,1.33,0.64
10626,0.51,-0.02,-0.82,24.53,1.37,1.36,0.86
10730,0.52,-0.02,-0.82,24.48,1.28,1.42,0.75
10834,0.52,-0.02,-0.82,24.58,1.23,1.39,0.70
10940,0.52,-0.01,-0.82,24.48,1.23,1.50,0.68
11044,0.52,-0.01,-0.82,24.58,1.27,1.66,0.66
11149,0.51,-0.01,-0.81,24.44,1.27,1.36,0.92
11253,0.52,-0.01,-0.80,24.53,1.30,1.41,0.84
11358,0.51,-0.01,-0.81,24.44,1.23,1.64,0.85
11462,0.52,-0.02,-0.82,24.53,1.24,1.44,0.89
11567,0.52,-0.01,-0.81,24.48,1.37,1.43,0.80
11671,0.52,-0.02,-0.82,24.53,1.10,1.21,0.69
11777,0.51,-0.02,-0.82,24.58,1.37,1.39,0.73
11881,0.51,-0.01,-0.82,24.58,1.26,1.47,0.84
11985,0.52,-0.02,-0.81,24.58,1.27,1.31,0.87
12090,0.52,-0.02,-0.82,24.48,1.52,1.54,0.97
12194,0.52,-0.02,-0.82,24.48,1.50,1.42,0.78
12299,0.52,-0.01,-0.82,24.48,1.21,1.11,0.80
12403,0.52,-0.02,-0.81,24.58,1.37,1.53,0.71
12508,0.52,-0.02,-0.82,24.58,1.22,1.39,0.80
12613,0.52,-0.02,-0.81,24.58,1.19,1.32,0.76
12718,0.52,-0.02,-0.81,24.53,1.42,1.31,0.74
12822,0.52,-0.02,-0.81,24.62,1.22,1.21,0.70
12926,0.52,-0.01,-0.82,24.48,1.40,1.52,0.95
13031,0.52,-0.02,-0.81,24.62,1.31,1.42,0.81
13135,0.51,-0.01,-0.82,24.48,1.24,1.33,0.73
13240,0.52,-0.02,-0.82,24.48,1.19,1.31,0.79
13344,0.52,-0.02,-0.81,24.53,1.33,1.36,0.71
13450,0.52,-0.02,-0.81,24.58,1.24,1.48,0.65
13554,0.52,-0.01,-0.81,24.53,1.22,1.45,0.76
13659,0.52,-0.01,-0.82,24.58,1.27,1.63,0.79
13763,0.51,-0.02,-0.82,24.48,1.27,1.61,0.79
13868,0.51,-0.01,-0.82,24.53,1.16,1.40,0.73
13972,0.52,-0.01,-0.81,24.67,1.26,1.30,0.91
14076,0.52,-0.02,-0.82,24.58,1.27,1.53,0.77
14181,0.52,-0.01,-0.82,24.44,1.21,1.55,0.77
14286,0.51,-0.02,-0.81,24.62,1.27,1.22,0.76
14391,0.52,-0.01,-0.81,24.62,1.32,1.85,0.85
14495,0.52,-0.01,-0.81,24.53,1.30,1.36,0.83
14600,0.52,-0.02,-0.82,24.62,1.31,1.53,0.66
14704,0.52,-0.02,-0.81,24.62,1.25,1.38,0.86
14809,0.52,-0.01,-0.82,24.53,1.25,1.25,0.88
14913,0.51,-0.02,-0.81,24.72,1.34,1.13,0.68
15017,0.51,-0.01,-0.82,24.67,1.26,1.25,0.66
15123,0.52,-0.02,-0.81,24.48,1.37,1.30,0.93
15227,0.52,-0.02,-0.81,24.58,1.32,1.39,0.69
15332,0.51,-0.01,-0.81,24.53,1.21,1.34,0.85
15436,0.51,-0.01,-0.82,24.58,1.13,1.30,0.69
15541,0.52,-0.01,-0.83,24.58,1.31,1.54,0.72
15645,0.51,-0.02,-0.81,24.58,1.29,1.58,0.73
15750,0.52,-0.01,-0.82,24.62,1.22,1.50,0.73
15855,0.52,-0.02,-0.82,24.53,1.32,1.21,0.86
15960,0.52,-0.01,-0.81,24.53,1.30,1.37,0.80
16064,0.52,-0.02,-0.82,24.53,1.19,1.44,0.75
16168,0.52,-0.01,-0.81,24.72,1.08,1.44,0.72
16273,0.52,-0.02,-0.81,24.62,1.17,1.48,0.76
16377,0.52,-0.02,-0.81,24.58,1.17,1.44,0.69
16482,0.52,-0.01,-0.80,24.62,1.40,1.73,0.75
16586,0.52,-0.02,-0.80,24.58,1.27,1.34,0.86
16692,0.51,-0.01,-0.81,24.62,1.21,1.44,0.63
16796,0.52,-0.02,-0.82,24.62,1.08,1.38,0.76
16901,0.52,-0.01,-0.81,24.58,1.23,1.49,0.86
17005,0.52,-0.02,-0.81,24.58,1.26,1.50,0.82
17110,0.52,-0.01,-0.82,24.53,1.27,1.53,0.87
17214,0.52,-0.02,-0.82,24.58,1.35,1.31,0.70
17318,0.52,-0.01,-0.82,24.58,1.21,1.50,0.85
17423,0.52,-0.02,-0.82,24.58,1.27,1.31,0.71
17528,0.51,-0.02,-0.81,24.62,1.29,1.55,0.82
17633,0.52,-0.02,-0.82,24.62,1.30,1.44,0.84
17737,0.51,-0.01,-0.82,24.58,1.27,1.42,0.78
17842,0.52,-0.01,-0.82,24.58,1.32,1.34,0.76
17946,0.52,-0.02,-0.81,24.72,1.27,1.27,0.82
18051,0.52,-0.01,-0.81,24.62,1.41,1.56,0.83
18155,0.51,-0.01,-0.82,24.62,1.40,1.41,0.69
18259,0.52,-0.02,-0.81,24.62,1.31,1.07,0.83
18365,0.52,-0.01,-0.81,24.58,1.24,1.50,0.72
18469,0.52,-0.01,-0.82,24.67,1.20,1.47,0.73
18574,0.52,-0.02,-0.81,24.58,1.30,1.45,0.89
18678,0.52,-0.02,-0.81,24.62,1.16,1.33,0.83
18783,0.51,-0.01,-0.82,24.62,1.21,1.27,0.82
18887,0.52,-0.02,-0.81,24.53,1.27,1.55,0.83
18992,0.52,-0.02,-0.81,24.58,1.41,1.38,0.73
19096,0.52,-0.01,-0.81,24.58,1.22,1.53,0.86
19202,0.52,-0.01,-0.82,24.67,1.27,1.50,0.71
19306,0.52,-0.01,-0.81,24.53,1.11,1.19,0.69
19410,0.51,-0.01,-0.81,24.53,1.25,1.40,0.81
19515,0.52,-0.01,-0.82,24.62,1.27,1.50,0.72
19619,0.52,-0.02,-0.82,24.62,1.29,1.53,0.72
19724,0.52,-0.01,-0.81,24.58,1.26,1.46,0.78
19828,0.53,-0.02,-0.81,24.58,1.21,1.41,0.70
19933,0.51,-0.02,-0.82,24.67,1.07,1.46,0.75
20038,0.51,-0.01,-0.81,24.72,1.38,1.47,0.82
20143,0.52,-0.02,-0.82,24.62,1.33,1.45,0.64
20247,0.52,-0.01,-0.81,24.53,1.22,1.31,0.73
20352,0.52,-0.01,-0.81,24.77,1.53,1.37,0.80
20456,0.52,-0.01,-0.81,24.62,1.38,1.58,0.91
20560,0.51,-0.02,-0.81,24.62,1.30,1.39,0.85
20665,0.52,-0.02,-0.81,24.67,1.18,1.32,0.78
20769,0.52,-0.02,-0.82,24.62,1.18,1.41,0.67
20875,0.51,-0.01,-0.81,24.48,1.18,1.25,0.86
20979,0.51,-0.01,-0.81,24.62,1.23,1.44,0.79
21084,0.52,-0.01,-0.81,24.67,1.34,1.39,0.73
21188,0.53,-0.01,-0.81,24.62,1.45,1.25,0.75
21293,0.51,-0.01,-0.82,24.67,1.34,1.40,0.80
21397,0.51,-0.02,-0.82,24.67,1.21,1.16,0.71
21501,0.52,-0.02,-0.80,24.53,1.19,1.55,0.77
21607,0.52,-0.03,-0.82,24.72,1.16,1.46,0.82
21711,0.52,-0.02,-0.81,24.72,1.29,1.45,0.76
21816,0.52,-0.02,-0.82,24.62,1.27,1.58,0.71
