Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
27,0.07,-0.00,0.95,28.95,1.29,0.99,1.07
173,0.08,0.01,0.94,28.81,1.31,0.92,1.15
277,0.07,0.00,0.96,28.95,1.46,1.03,0.94
381,0.07,0.01,0.95,28.86,1.43,0.85,1.09
486,0.07,0.00,0.95,28.91,1.27,1.02,1.00
590,0.08,0.00,0.97,28.91,1.40,1.05,0.98
695,0.08,0.01,0.95,28.81,1.22,0.93,0.99
799,0.07,0.01,0.96,28.95,1.37,0.92,0.86
904,0.07,0.01,0.94,28.86,1.34,0.91,1.01
1008,0.08,0.01,0.96,28.95,1.38,1.11,0.98
1113,0.07,0.00,0.94,28.91,1.32,0.97,1.07
1217,0.08,0.01,0.97,29.00,1.38,0.85,0.92
1321,0.08,0.00,0.94,28.95,1.27,0.99,0.87
1427,0.08,0.00,0.96,28.91,1.33,0.95,0.95
1531,0.08,0.00,0.95,28.86,1.38,0.95,0.84
1636,0.08,0.00,0.94,28.95,1.55,0.90,0.96
1740,0.08,0.01,0.97,28.91,1.51,0.98,0.78
1845,0.07,0.01,0.94,28.91,1.34,1.01,1.01
1949,0.08,0.01,0.96,28.91,1.42,1.12,1.08
2054,0.07,0.00,0.95,28.95,1.34,0.95,1.00
2158,0.07,0.01,0.95,28.91,1.31,1.10,1.18
2263,0.08,0.01,0.94,28.91,1.21,0.99,0.85
2367,0.08,0.00,0.95,28.95,1.34,1.08,0.91
2471,0.07,0.01,0.96,28.91,1.31,0.91,1.11
2576,0.08,0.00,0.95,28.86,1.32,1.01,0.92
2680,0.08,0.01,0.95,28.91,1.40,0.82,0.96
2785,0.08,0.01,0.95,28.91,1.25,1.05,1.04
2889,0.07,0.01,0.95,29.00,1.48,0.86,1.14
2994,0.07,0.00,0.94,28.86,1.42,0.94,1.14
3098,0.07,0.01,0.96,28.86,1.38,0.90,1.04
3204,0.08,0.00,0.95,28.91,1.25,0.94,1.09
3308,0.08,0.01,0.95,28.81,1.26,1.04,1.07
3412,0.07,0.00,0.96,28.86,1.31,1.11,1.04
3517,0.08,0.00,0.95,28.91,1.40,1.08,0.97
3621,0.07,0.01,0.96,29.00,1.25,1.14,1.10
3726,0.07,0.01,0.95,28.86,1.39,1.01,0.99
3830,0.08,0.00,0.97,28.91,1.33,1.03,0.99
3935,0.08,0.01,0.94,28.95,1.30,1.05,0.94
4039,0.08,0.00,0.95,28.95,1.22,1.05,1.03
4144,0.08,0.00,0.95,29.00,1.29,0.98,0.91
4248,0.08,-0.00,0.96,28.86,1.26,0.94,0.92
4353,0.08,0.01,0.95,28.91,1.34,1.02,0.93
4457,0.08,0.01,0.95,28.86,1.31,0.95,1.01
4561,0.07,0.01,0.96,28.95,1.47,0.83,0.97
4666,0.08,0.00,0.94,28.91,1.40,0.85,1.08
4770,0.08,0.00,0.96,28.91,1.37,0.86,0.98
4875,0.07,0.00,0.94,28.95,1.45,0.98,0.91
4980,0.08,0.01,0.96,28.91,1.38,1.05,1.00
5085,0.07,0.01,0.94,28.91,1.30,0.86,0.88
5189,0.08,0.00,0.96,28.86,1.50,0.95,0.89
5294,0.07,0.00,0.95,28.86,1.31,0.84,1.03
5398,0.08,0.01,0.95,28.81,1.31,1.07,1.03
5502,0.07,0.01,0.96,29.00,1.15,1.05,1.02
5607,0.08,-0.00,0.93,28.86,1.21,0.86,1.12
5711,0.07,0.01,0.97,28.91,1.32,1.05,1.02
5816,0.08,0.01,0.94,28.81,1.27,0.66,0.85
5920,0.08,0.00,0.95,28.86,1.34,0.94,1.13
6025,0.08,-0.01,0.94,28.91,1.34,1.00,0.99
6129,0.07,0.00,0.96,29.00,1.40,1.08,1.07
6234,0.08,0.00,0.95,28.86,1.44,0.96,1.17
6338,0.07,0.01,0.95,28.91,1.40,1.04,0.95
6443,0.07,0.00,0.95,28.86,1.50,0.86,0.87
6547,0.07,0.01,0.94,28.95,1.44,0.92,0.95
6651,0.08,0.00,0.96,28.91,1.32,1.17,0.98
6757,0.08,0.00,0.96,28.81,1.40,0.89,1.08
6861,0.08,0.01,0.96,28.86,1.27,0.79,0.82
6966,0.08,0.01,0.94,28.91,1.31,0.86,0.82
7070,0.08,0.00,0.97,28.86,1.39,1.18,1.05
